round,client_1,client_2,client_3,client_4
1,688.5307,687.7181,685.5105,691.7392
2,595.7846,595.7269,592.9984,599.2979
3,510.3651,511.9423,508.7572,510.7188
4,398.5904,397.2578,397.8227,404.0154
5,266.1975,276.1309,271.8674,282.435
6,167.2522,176.836,172.9301,184.3326
7,100.9809,109.2713,107.2998,120.3799
8,83.6859,91.8805,93.2317,98.1723
9,77.499,86.452,88.1709,89.8643
10,74.1643,80.799,84.8746,85.4642
11,70.474,76.9722,78.8716,81.9179
12,66.475,77.1675,81.3952,79.6021
13,66.0192,72.9531,79.0196,76.9924
14,66.222,71.2586,77.743,76.0539
15,61.8191,71.1889,71.5467,73.6336
16,60.146,66.8906,67.6835,70.8467
17,60.7619,66.5343,70.1743,70.543
18,58.3336,65.6476,67.6014,67.7527
19,57.8532,65.8776,66.1498,64.7331
20,57.0885,64.8055,64.3829,64.5124
21,56.8632,60.4671,63.1715,63.4865
22,55.2947,62.3695,60.7747,62.0408
23,53.9223,57.4782,60.4579,60.8606
24,53.7718,58.7684,57.9332,59.7347
25,51.8166,57.5186,57.5572,57.1588
26,51.252,54.9801,58.9005,58.5025
27,50.6261,55.395,54.0229,57.3596
28,50.2176,54.0264,54.2132,54.505
29,48.9413,52.1263,53.2982,52.7371
30,47.7108,52.3055,53.5436,52.8573
31,47.5321,50.2071,52.1089,51.9671
32,47.0076,50.3396,51.1439,50.1744
33,47.4678,49.1582,50.4042,50.4392
34,45.8924,49.3339,49.8685,51.0422
35,45.2402,47.9352,48.4912,47.9391
36,46.3972,47.9907,48.9255,50.1233
37,46.503,47.9523,49.5219,48.0152
38,46.1336,47.1969,48.245,47.9445
39,46.0563,47.4466,48.8725,47.8489
40,45.4811,46.5921,47.3986,47.6469
41,45.5438,46.357,47.8369,46.7425
42,45.7951,46.3988,48.5037,47.0794
43,45.8056,46.5042,48.3666,47.401
44,46.7127,46.6934,48.372,48.0579
45,46.6486,46.0641,47.681,47.3425
46,46.4238,46.0639,47.6783,48.5111
47,46.801,46.9461,49.4874,47.5958
48,48.9141,46.9296,49.286,48.9337
49,50.0931,48.3263,50.1942,47.7492
50,50.812,47.6396,49.6634,49.0491
