round,client_1,client_2,client_3,client_4
1,639.2034,643.7135,711.282,674.5142
2,397.948,405.0193,432.5914,419.6395
3,148.5572,156.6468,149.9956,155.6838
4,89.1823,91.3088,81.9737,88.2403
5,81.5123,81.7112,75.7452,82.3655
6,78.3977,78.208,72.2226,77.646
7,75.6289,74.7443,67.964,74.134
8,72.943,72.5756,65.6865,73.0891
9,70.4639,70.3574,62.6264,70.5022
10,66.6634,67.666,60.1601,68.7756
11,64.9214,66.4787,59.4222,65.7573
12,63.1723,64.9976,54.9386,64.3653
13,59.1985,62.2515,51.7862,62.8272
14,58.5243,60.6757,51.0778,59.6406
15,55.579,60.2496,49.4434,59.2709
16,54.279,57.2133,47.025,59.3139
17,52.6497,56.2901,46.1099,56.5019
18,50.3633,53.2434,46.6647,55.3719
19,51.1608,51.8655,43.6871,54.2689
20,50.3163,50.5345,42.165,53.6854
21,47.4899,49.08,43.4135,52.728
22,47.4727,49.3934,41.2293,52.3127
23,46.6227,46.9344,39.8057,51.5356
24,46.1395,46.5289,39.2226,48.6719
25,44.591,46.5912,40.0081,48.6075
26,42.7057,46.0083,38.2175,49.2277
27,43.7093,43.7787,38.353,47.088
28,42.4073,44.8155,37.5947,46.524
29,41.6669,43.6137,37.0314,47.0253
30,41.2405,43.5354,37.178,46.2038
31,40.5149,42.538,36.8229,44.9693
32,39.9581,42.0045,36.1501,44.7633
33,41.095,41.5172,35.9476,44.0169
34,40.3285,41.4905,35.3281,43.1962
35,40.3535,41.5259,35.5596,43.2754
36,39.1512,40.4743,34.8954,43.0928
37,39.6705,41.2386,34.5307,42.9048
38,38.8769,41.9115,34.4373,42.5101
39,38.0922,41.0594,34.3623,42.4715
40,38.898,41.2021,34.4446,42.531
41,39.435,41.4248,34.642,42.117
42,39.4556,41.7544,34.8345,42.5527
43,39.0634,41.5082,34.4618,42.7703
44,39.4794,42.2809,35.1213,43.7664
45,39.6664,42.7636,35.4406,43.6623
46,40.0234,42.9211,35.168,44.4784
47,40.4511,43.0431,35.8602,45.123
48,41.238,43.9302,36.9966,46.8286
49,42.324,45.372,38.059,50.0056
50,42.6792,46.3837,40.1806,51.0296
