round,client_1,client_2,client_3,client_4
1,0.2228,0.2256,0.3015,0.2502
2,0.2228,0.2256,0.3015,0.2502
3,0.2228,0.2256,0.3015,0.2502
4,0.2228,0.2256,0.3015,0.2502
5,0.2228,0.2256,0.3015,0.2502
6,0.2228,0.2256,0.3015,0.2502
7,0.2228,0.2256,0.3015,0.2502
8,0.2228,0.2256,0.3015,0.2502
9,0.2228,0.2256,0.3015,0.2502
10,0.2228,0.2256,0.3015,0.2502
11,0.2228,0.2256,0.3015,0.2502
12,0.2228,0.2256,0.3015,0.2502
13,0.2228,0.2256,0.3015,0.2502
14,0.2228,0.2256,0.3015,0.2502
15,0.2228,0.2256,0.3015,0.2502
16,0.2228,0.2256,0.3015,0.2502
17,0.2228,0.2256,0.3015,0.2502
18,0.2228,0.2256,0.3015,0.2502
19,0.2228,0.2256,0.3015,0.2502
20,0.2228,0.2256,0.3015,0.2502
21,0.2228,0.2256,0.3015,0.2502
22,0.2228,0.2256,0.3015,0.2502
23,0.2228,0.2256,0.3015,0.2502
24,0.2228,0.2256,0.3015,0.2502
25,0.2228,0.2256,0.3015,0.2502
26,0.2228,0.2256,0.3015,0.2502
27,0.2228,0.2256,0.3015,0.2502
28,0.2228,0.2256,0.3015,0.2502
29,0.2228,0.2256,0.3015,0.2502
30,0.2228,0.2256,0.3015,0.2502
31,0.2228,0.2256,0.3015,0.2502
32,0.2228,0.2256,0.3015,0.2502
33,0.2228,0.2256,0.3015,0.2502
34,0.2228,0.2256,0.3015,0.2502
35,0.2228,0.2256,0.3015,0.2502
36,0.2228,0.2256,0.3015,0.2502
37,0.2228,0.2256,0.3015,0.2502
38,0.2228,0.2256,0.3015,0.2502
39,0.2228,0.2256,0.3015,0.2502
40,0.2228,0.2256,0.3015,0.2502
41,0.2228,0.2256,0.3015,0.2502
42,0.2228,0.2256,0.3015,0.2502
43,0.2228,0.2256,0.3015,0.2502
44,0.2228,0.2256,0.3015,0.2502
45,0.2228,0.2256,0.3015,0.2502
46,0.2228,0.2256,0.3015,0.2502
47,0.2228,0.2256,0.3015,0.2502
48,0.2228,0.2256,0.3015,0.2502
49,0.2228,0.2256,0.3015,0.2502
50,0.2228,0.2256,0.3015,0.2502
