round,client_1,client_2,client_3,client_4
1,0.2605,0.2586,0.2341,0.2468
2,0.2598,0.2555,0.2384,0.2463
3,0.2568,0.2447,0.2532,0.2453
4,0.2461,0.2415,0.2657,0.2467
5,0.2467,0.248,0.2624,0.2429
6,0.2453,0.2467,0.2619,0.2461
7,0.2426,0.2467,0.2649,0.2458
8,0.2447,0.2484,0.2637,0.2431
9,0.2442,0.2471,0.2653,0.2434
10,0.2472,0.2481,0.2653,0.2395
11,0.2501,0.2454,0.2609,0.2435
12,0.2473,0.2447,0.2667,0.2413
13,0.2507,0.2407,0.2731,0.2355
14,0.2514,0.2448,0.2627,0.2411
15,0.2573,0.2414,0.2671,0.2342
16,0.2546,0.2462,0.2716,0.2277
17,0.2583,0.2412,0.2697,0.2307
18,0.2649,0.2461,0.2614,0.2276
19,0.253,0.2498,0.27,0.2272
20,0.2555,0.253,0.2668,0.2248
21,0.2613,0.2508,0.2668,0.221
22,0.2673,0.2503,0.264,0.2185
23,0.2626,0.2484,0.2708,0.2182
24,0.2617,0.2492,0.2656,0.2236
25,0.2664,0.2538,0.2611,0.2187
26,0.2713,0.2497,0.2633,0.2157
27,0.2638,0.2555,0.2619,0.2189
28,0.2732,0.2489,0.2596,0.2182
29,0.2722,0.2515,0.2638,0.2125
30,0.2749,0.2506,0.2622,0.2123
31,0.274,0.2547,0.2546,0.2167
32,0.2744,0.2545,0.2575,0.2136
33,0.2675,0.2572,0.2589,0.2164
34,0.269,0.252,0.2627,0.2163
35,0.2685,0.2532,0.2632,0.2152
36,0.2715,0.2569,0.2595,0.2121
37,0.2706,0.2534,0.2632,0.2129
38,0.2737,0.2508,0.2631,0.2123
39,0.277,0.2516,0.2601,0.2113
40,0.2736,0.2521,0.2616,0.2128
41,0.2732,0.2517,0.2608,0.2144
42,0.2749,0.2535,0.26,0.2115
43,0.2746,0.2535,0.2614,0.2105
44,0.2762,0.2543,0.261,0.2085
45,0.2776,0.2532,0.2596,0.2096
46,0.2768,0.2546,0.2631,0.2055
47,0.2778,0.2576,0.2624,0.2022
48,0.2793,0.2611,0.2611,0.1985
49,0.284,0.2642,0.2633,0.1885
50,0.286,0.2657,0.2633,0.1849
