round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_nasa_score,global_test_auprc,global_test_f1,round_seconds,delta_norm_client_1,delta_norm_client_2,delta_norm_client_3,delta_norm_client_4
1,0.001,486.12402581799836,485.20834248134844,1.8313667943369858,87.09000396728516,2408863.666948563,0.23270186683793015,0.0,5.206588401997578,7.911288901284066,7.851285631947341,86.4266611379542,8.515692127382442
2,0.0009989726963751681,689.183518074371,685.4601333002564,7.4467675274683,87.09122467041016,2409120.9824396856,0.2370710939378832,0.0,4.821320146002108,14.130559109227722,14.118431363091634,159.05234973930482,15.527274196038347
3,0.000995895006911623,775.0526499098085,773.5051075345771,3.0950829369926844,87.09122467041016,2409120.982627707,0.22784136350155415,0.0,5.01372417499806,20.504856179823154,21.17946508826523,236.99920168641924,24.12478335426294
4,0.0009907795784955327,799.9964955286812,798.1460468205291,3.7008979917133558,87.09122467041016,2409120.982627707,0.21833381931528692,0.0,4.999652733000403,19.9559921221492,19.741748995985592,226.6572401889841,21.899355483219864
5,0.0009836474315195148,808.9117934801833,798.2043807938373,21.41482750478015,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.9307923699998355,21.314655525565776,21.304110627063405,243.28022359818794,23.645448965240696
6,0.0009745278735053344,870.2775340427652,798.2237831487566,144.10749947837957,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.0918132010010595,27.421446301431214,27.387328399779488,312.8245773981001,30.597036897145067
7,0.0009634583786730109,1094.3651514965488,798.3108091416473,592.1086860836449,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.874489827998332,31.155136841174862,31.061154515047054,368.0845947253253,35.3394200850259
8,0.0009504844339512095,1675.1671900075776,798.0712925530954,1754.1917949644685,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.99658421300046,30.681787723102726,30.658572178663754,363.6724422680575,34.962703509894354
9,0.0009356593520616947,2810.5687381509942,798.2209298766916,4024.6956089782093,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.044759561998944,29.159021401723876,29.18386407172524,347.82258681642145,33.354386413551886
10,0.0009190440524459203,4640.614725914825,798.1714371190985,7684.886590124681,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.8576125760009745,28.285306218610458,28.198710201325333,332.12026255289237,32.03083565846645
11,0.0009007068109339783,7403.478867741587,798.3639724705828,13210.22978783042,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.0420109939987015,27.789632547075225,27.83867134591529,329.51584252212757,31.76075736020459
12,0.0008807229791845672,11075.17000999342,798.5555640144178,20553.228885698765,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.99527904000206,27.906261570608088,27.991578318537215,333.0015040513817,32.09595664889917
13,0.0008591746750488638,15929.83242094221,798.3390843170564,30262.9866586141,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.926363332000619,27.682735762802654,27.637439270337662,330.7814824391161,31.667038877490665
14,0.0008361504451306584,21839.740971498097,798.3166989635829,42082.84854601688,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.019844206999551,26.006618123571602,26.017888052953484,307.80932175969633,29.670996710274565
15,0.0008117449009293668,29283.65217111515,798.2814928461587,56970.74140887325,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.901609404998453,25.971179157948637,25.86608977429333,308.2336787954908,29.69935266556713
16,0.0007860583300610849,37300.3241167018,798.2337956655592,73004.18061900031,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.02845891099787,24.409601849842847,24.3615018045124,289.43659157965635,27.784273204238755
17,0.0007591962841552626,47490.359666339165,798.284395967017,93384.15057189221,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.1149831430011545,24.377735339125245,24.369401548812444,290.36434042649,27.805371650286535
18,0.0007312691451204177,58454.78297041139,798.1324304069112,115313.301009989,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.869009729998652,23.12988859944498,23.009262911280015,270.94118313418045,26.256406919906734
19,0.0007023916715611969,70421.1049710539,798.1448285926102,139245.92004056688,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.037182062002103,22.37709946953585,22.402882292579026,267.667372818439,25.57329404870382
20,0.0006726825272106538,83363.34180397962,798.3454777395817,165129.9928538936,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.94083277900063,21.47097612354291,21.47678850363781,255.1639370089039,24.551645943030017
21,0.0006422637933155162,97941.6549193243,798.2462255196888,194286.8167459801,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.82618750599795,20.640108905427976,20.488332211514408,244.43390422586958,23.60941454980066
22,0.0006112604669781572,112105.82872760107,798.3014135981751,222615.0546590815,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.9291058749986405,19.759691335247645,19.81894498651636,236.82608577427345,22.765576853352865
23,0.0005797999475166897,128379.47903610062,798.2661048511105,255162.42582268536,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.8402206969985855,18.40869665322808,18.41016908023014,218.46673272107702,21.105124000828557
24,0.0005480115129538409,144000.58522321229,798.2464077910321,286404.67795904004,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.975976483998238,17.693988350076776,17.704983416514075,210.67861510037167,20.268577881157015
25,0.0005160257887858277,160747.6904867729,798.321686066211,319898.737126128,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.011572350002098,17.472846109651414,17.507377976150654,210.31385250031582,20.044448689498356
26,0.0004839742112141724,177670.5205688228,798.2596730397977,353744.52189564815,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.916769722000026,15.449806944842644,15.467855376755208,183.49580340389514,17.635176088512548
27,0.0004519884870461591,194398.77513411338,798.1600864450767,387201.2304499699,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.0373411100008525,14.398514392625243,14.403749426584877,171.9423468005014,16.393782630027733
28,0.0004202000524833105,211105.9309601712,798.3299960643719,420615.202043607,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.903595288000361,14.30688087594926,14.344724650408311,173.25338501097048,16.555195105610874
29,0.00038873953302184284,228041.33264204868,798.1031819049741,454486.4588466546,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.859415560000343,12.18655295956625,12.175768095908257,144.88958845212076,13.863355560574709
30,0.0003577362066844838,243924.8951306217,798.2770895055507,486253.2365711726,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.963223691000167,11.384965026032953,11.365103632798059,135.07988629167153,13.058747658506945
31,0.0003273174727893463,258852.5977676385,798.3223502586467,516108.55011788703,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.852127250000194,10.765158935113378,10.735229572269004,129.99027308875313,12.38945911019004
32,0.0002976083284388031,272876.2472401279,798.4421717116248,544155.6102351063,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.022498603000713,9.340360086991883,9.351786715013036,111.82361517229263,10.7152401532395
33,0.0002687308548795825,287319.96377229365,798.3487363764071,573043.2306040856,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.9796682270025485,8.497995934957098,8.497760515651565,101.09934078224562,9.762083565143836
34,0.00024080371584473748,299856.52861294337,798.4204711556969,598116.2153789317,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.861644668999361,7.792414775738582,7.772435620912234,93.6365100828923,8.967457730935413
35,0.0002139416699389153,312464.2189151452,798.2518697594257,623331.9338155334,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.977556501002255,6.8215400004582865,6.797348767155746,81.31928435716021,7.786028390568926
36,0.00018825509907063325,323513.1158112901,798.239602873371,645429.7527301619,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.961084099999425,5.864382808203276,5.903933327681841,70.08414612164644,6.753310652073553
37,0.00016384955486934156,333254.5821289261,798.1715545891067,664912.8215581438,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.840592576998461,5.2541473065461854,5.254587135881597,63.00672652103273,6.052892168074929
38,0.00014082532495113625,341230.26096456713,798.1942785252969,680864.132342502,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.927252030996897,4.451407418342034,4.434540785716509,52.910333387493985,5.070701026049301
39,0.0001192770208154328,348820.9237010367,798.3314418090181,696045.1850226235,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.837351443999069,3.7961715913712193,3.7890326548333917,45.31305944463581,4.368697713327966
40,9.929318906602175e-05,355703.8779235268,798.219876721374,709811.3158937236,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.0102372740002465,3.108502412605102,3.1164694483221194,37.08500012558678,3.540688456753348
41,8.09559475540797e-05,361667.5999894474,798.2507888023863,721738.6984331677,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.064184443999693,2.523788864730084,2.5137029365973724,29.95356886817625,2.8795897924000524
42,6.43406479383053e-05,365572.1883351656,798.470473753324,729547.4347457917,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.90403069900276,1.9956957217668967,1.9935359139803837,23.66015192027713,2.285291862758297
43,4.9515566048790485e-05,369337.4722909831,798.3387008949562,737078.2672287564,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.030691600000864,1.5258029634008203,1.5274446789968372,18.118551789215523,1.7479794523422707
44,3.654162132698918e-05,372034.18952119024,798.3033660314993,742471.7716556808,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.944615259999409,1.1083301137595665,1.1127841599976165,13.192914049778496,1.2671878964722372
45,2.547212649466568e-05,374893.3075435578,798.1924575344547,748190.2298111501,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.891953502999968,0.7737564906566559,0.7740088435475561,9.168257410573542,0.8812916940251186
46,1.6352568480485276e-05,375944.9911541005,798.405522461776,750293.1710454982,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.026640916999895,0.49149409832474683,0.4933829449050825,5.828757063138309,0.5630452298803145
47,9.22042150446728e-06,376950.8641927282,798.4827341887831,752304.7629174935,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.905798884999967,0.28102204191519486,0.2820073170707515,3.323527579074769,0.3215415930981165
48,4.104993088376974e-06,377311.9598480584,798.2707706419588,753027.3773996728,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.983933393999905,0.11929752785249934,0.11884265387642172,1.4065908793030006,0.1360024344250939
49,1.0273036248318324e-06,378116.50359871425,798.2741235706638,754636.457715281,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.050223771002493,0.029226708836682522,0.02920871450079718,0.34532030350404946,0.03345378137389761
50,0.0,377944.7491001476,798.0542979684844,754293.3900025755,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.837709912000719,0.0,0.0,0.0,0.0
