round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_nasa_score,global_test_auprc,global_test_f1,round_seconds,delta_norm_client_1,delta_norm_client_2,delta_norm_client_3,delta_norm_client_4
1,0.001,486.12402581799836,485.20834248134844,1.8313667943369858,87.09122467041016,2409120.979757135,0.22736553211606003,0.0,4.917172552999546,7.911288901284066,7.851285631947341,86.4266611379542,85.15692134804945
2,0.0009989726963751681,716.1197689556717,711.2000261063396,9.839485872335244,87.09122467041016,2409120.982627707,0.23507587752689274,0.0,5.007959870999912,18.31912734345183,18.178634023628465,205.71125631981565,199.09871113128273
3,0.000995895006911623,802.5328960476922,798.3266895827501,8.412413075531418,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.81696115700106,20.769864489695255,20.89353139127508,240.58273681973384,229.1631712214458
4,0.0009907795784955327,905.6946237158087,798.1460468205291,215.09715358185775,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.007459636999556,29.199045551442318,29.154526187089086,340.2199345786331,325.69009983030037
5,0.0009836474315195148,2113.448967412375,798.2043807938373,2630.4891683340165,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.997781477999524,29.844826299894155,29.84253578783145,351.1931941415777,339.8821096186087
6,0.0009745278735053344,6968.773261135848,798.2237831487566,12341.098959236937,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.913376669999707,29.01169626351605,29.050208120569117,342.9847462880993,330.6189024748741
7,0.0009634583786730109,18836.546383452114,798.3108091416473,36076.47114251851,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.9579926779988455,30.272037894147335,30.21751035169254,357.51984632651227,344.1538541147195
8,0.0009504844339512095,40595.933924711084,798.0712925530954,79595.72520303319,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.9974847299999965,29.650732298529825,29.601514372696386,351.5897514285069,337.3003354992447
9,0.0009356593520616947,75781.2084358535,798.2209298766916,149965.97502407624,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.824325607998617,29.110100126336693,29.19887148292023,346.81917590625665,332.66412192111636
10,0.0009190440524459203,128407.15066442618,798.1714371190985,255217.95794998185,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.017176487999677,28.582508232427728,28.532314174765258,337.53941527785094,325.79542455028974
11,0.0009007068109339783,197730.52457294767,798.3639724705828,393864.32149425196,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.7814747679985885,28.439829931597593,28.498040523878597,337.33940565798815,325.07513171964655
12,0.0008807229791845672,292715.13052332145,798.5555640144178,583833.1498584242,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.996119126000849,27.2984337955158,27.392679433696404,324.43630074643926,312.75011519242696
13,0.0008591746750488638,404454.310209629,798.3390843170564,807311.9414253281,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.011405713998101,26.668695992607454,26.688600590837765,314.9598080790583,303.96947838397824
14,0.0008361504451306584,548258.8037729415,798.3166989635829,1094920.9752552495,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.95106730200132,26.20435019184618,26.19325834816816,310.214742884862,299.1501955901845
15,0.0008117449009293668,707068.7482118214,798.2814928461587,1412540.9311485677,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.030554698998458,24.82987383166148,24.85620620346963,293.38516031234866,283.41173294821397
16,0.0007860583300610849,898723.7761803806,798.2337956655592,1795851.0842141076,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.802805646999332,24.605134480210857,24.53484079715453,291.84111552648346,280.11135557711356
17,0.0007591962841552626,1108317.687222572,798.284395967017,2215038.807677999,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.049734051000996,23.713869492105857,23.750135539324788,281.75320447283536,271.0089837107225
18,0.0007312691451204177,1345005.4614212103,798.1324304069112,2688414.6603518007,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.9382453260004695,22.839056932275962,22.770176949094626,269.51771368411806,260.7402791081868
19,0.0007023916715611969,1593493.1236144498,798.1448285926102,3185389.9541313723,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.794065113001125,21.560364037453994,21.63446081993224,255.9905989778954,246.6223881218312
20,0.0006726825272106538,1861851.7210703795,798.3454777395817,3722106.74958823,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.994846575998963,20.849730337139572,20.9179643569621,247.04498605842608,239.60895922701795
21,0.0006422637933155162,2147940.658376418,798.2462255196888,4294284.828546309,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.936587468000653,19.756662033039195,19.760656154921204,234.90810443029432,226.78186804479262
22,0.0006112604669781572,2451805.840119588,798.3014135981751,4902015.081140936,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.812258865000331,18.6417487248355,18.74677515791647,221.34233727491804,213.67217000408263
23,0.0005797999475166897,2762693.907257962,798.2661048511105,5523791.282343814,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.943511776997184,17.94173137246853,17.957458108062372,213.01615035100485,206.01071355357593
24,0.0005480115129538409,3077857.622506328,798.2464077910321,6154118.751246438,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.8716414970003825,16.5045933698882,16.556494586097028,196.1088407171961,189.38053545097162
25,0.0005160257887858277,3407524.3863610346,798.321686066211,6813452.128717058,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.053342605999205,15.755531044315651,15.78618514730315,186.8755380148804,179.5662720032613
26,0.0004839742112141724,3733008.9065266326,798.2596730397977,7464421.292641241,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.101068805000978,14.665026855658693,14.63811271186511,173.79066135682038,167.11172849631342
27,0.0004519884870461591,4057472.24881954,798.1600864450767,8113348.18103251,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.843002208999678,13.520136790773666,13.563544972466165,160.63575112318821,154.7769614129137
28,0.0004202000524833105,4369300.923937029,798.3299960643719,8737005.184231278,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.002244709998195,12.770773794011227,12.837933510216724,152.3177152825819,146.55015579213642
29,0.00038873953302184284,4691395.827148834,798.1031819049741,9381195.443267958,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.94222146500033,12.10474253433561,12.131278271162182,144.06470503616222,139.2848582807634
30,0.0003577362066844838,4988186.984940985,798.2770895055507,9974777.412138786,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.823629655998957,10.874558076738396,10.898084279986875,128.7905307013272,124.9210726062514
31,0.0003273174727893463,5272750.165417048,798.3223502586467,10543903.683433175,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.959103960998618,9.984338782147708,9.987127106887808,118.63418558751998,114.29528362714055
32,0.0002976083284388031,5542570.090439942,798.4421717116248,11083543.298029227,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.83924602299885,9.086700708112742,9.120658821918044,108.2427100384498,104.47526094956055
33,0.0002687308548795825,5803612.988537216,798.3487363764071,11605629.2779622,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.997248668001703,8.138118986587083,8.139539751073519,96.58874209203145,93.49741245808526
34,0.00024080371584473748,6045547.991440272,798.4204711556969,12089499.118157305,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.105120038999303,7.298923643768857,7.3131674380937755,86.69134633723758,83.8941580604843
35,0.0002139416699389153,6276080.326732296,798.2518697594257,12550564.148281697,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.827375892000418,6.505915119518852,6.493408341576839,77.10232907294794,74.33701417985759
36,0.00018825509907063325,6481764.727077609,798.239602873371,12961932.996088982,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,5.022024018999218,5.697987771417203,5.74216580666854,67.86942653066431,65.67614153914629
37,0.00016384955486934156,6654197.376265517,798.1715545891067,13306798.395594856,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.904174986000726,5.003232267564213,5.0229071653835495,59.5621974207415,57.586564512549366
38,0.00014082532495113625,6808785.972006004,798.1942785252969,13615975.552398123,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.855567837003036,4.28686554043981,4.286430972791883,50.83252588671188,49.142817263648936
39,0.0001192770208154328,6947432.354780347,798.3314418090181,13893268.020941442,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.938257407000492,3.601044176483825,3.612487512429618,42.73705972210341,41.38477666353586
40,9.929318906602175e-05,7074638.745855273,798.219876721374,14147681.062585853,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.879400800997246,2.9761558110916018,2.996147371519334,35.57053039719403,34.232515792324044
41,8.09559475540797e-05,7182878.522170394,798.2507888023863,14364160.53453462,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.951706451000064,2.4246194627660405,2.4364283884989995,28.842097648700545,27.82326129056653
42,6.43406479383053e-05,7257818.966274611,798.470473753324,14514040.992349664,87.09122467041016,2409120.982627707,0.22485207100591717,0.0,4.998800774999836,1.9319545927099442,1.9456274086058967,22.93503501957024,22.168829747290893
