round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_nasa_score,global_test_auprc,global_test_f1,round_seconds,delta_norm_client_1,delta_norm_client_2,delta_norm_client_3,delta_norm_client_4
1,0.001,421.2813410015673,420.3889961152432,1.7846897072137906,45.91702651977539,334196.9664525002,0.2310527347607321,0.0,5.628225897999073,7.911288901284066,7.851285631947341,8.841906195951537,8.515692127382442
2,0.0009989726963751681,218.337280572892,217.75085155402056,1.1728580843283514,27.873367309570312,23780.825304501916,0.8012831959065211,0.736,5.447978715998033,7.935379435319119,7.935887334162571,9.845573678978807,8.264225818637062
3,0.000995895006911623,155.5130611180677,155.15792114287314,0.7102801669619282,48.18795394897461,153581.18928169124,0.7495742200386597,0.5159817351598174,5.602826929996809,3.2784459087617734,2.995002031224404,6.440729112313393,3.841486136213187
4,0.0009907795784955327,145.2596099694473,144.93854206739812,0.6421357373149605,38.92177963256836,59256.87321569232,0.8096712696927105,0.5794871794871795,5.463961520999874,1.9856305294095082,1.5531618103754314,4.951805286198688,2.5147341844594533
5,0.0009836474315195148,138.28963299267264,137.98766844918876,0.6039291524920934,39.750267028808594,66328.5528376065,0.8064396554459665,0.5846153846153846,5.609058878999349,1.6945091250557802,1.4769738574412579,4.670962987212083,2.126862616991617
6,0.0009745278735053344,134.35137860984594,134.06000769987406,0.5827416459795529,40.641075134277344,71013.23412024189,0.7957662160817026,0.56575682382134,5.640309329999582,1.4661013291078733,1.4699592578305598,4.801150402132761,1.7713223535932778
7,0.0009634583786730109,133.80617939785432,133.51463727093247,0.5830840914864411,36.93830871582031,45506.12673164769,0.8172209252433372,0.6031746031746031,5.444519438002317,1.4446587999917393,1.1980678750091887,4.8467965193432825,1.4393764217575697
8,0.0009504844339512095,129.1042279258316,128.82204049900872,0.5643749327111138,37.47615051269531,47813.18800251899,0.8127863140956854,0.6,5.629030874999444,1.3360298560450317,1.162879133992657,4.671951790664896,1.5233215872791532
9,0.0009356593520616947,125.02341135012992,124.74970635423632,0.5474099535242027,38.185001373291016,48992.74992602969,0.8082175401948847,0.5984251968503937,5.5465487469991785,1.4113307380096822,1.1825539640521163,4.363685138435984,1.3583331769957556
10,0.0009190440524459203,119.52244508285855,119.26408345950634,0.5167232465298789,39.17000961303711,52758.93290136172,0.7969052455686777,0.5891472868217055,5.4260283740004525,1.2632160631741947,1.0668231188007364,4.193131905351191,1.1760294968706786
11,0.0009007068109339783,115.72357128454408,115.47157797077878,0.5039866862602163,35.61071014404297,32547.61860201702,0.8034791707528135,0.6475644699140402,5.523155473998486,1.0710918048190115,1.0884809915190352,3.822964071956696,1.282793295171011
12,0.0008807229791845672,110.49373898546921,110.25211532333297,0.4832476240935848,35.873809814453125,32586.54978614567,0.8071725443902318,0.6512968299711815,5.58702703200106,1.2041478278145727,1.0939831045105493,3.4461067598124187,1.3879741534446004
13,0.0008591746750488638,108.3371801991554,108.09741354784347,0.47953361161769587,37.47324752807617,36710.7145700658,0.7936164265775149,0.6225895316804407,5.6074704689999635,1.1598316841427128,0.9634782040631339,3.2289177499407065,1.0579488199675045
14,0.0008361504451306584,105.858404262259,105.62259737999884,0.4716138308666916,36.19767761230469,30825.462896641802,0.8214743515980371,0.6512968299711815,5.652492307999637,1.0424254300278768,0.8245638152604046,2.9728310076899853,1.295341214309916
15,0.0008117449009293668,103.58018808336729,103.34793618800535,0.46450398056978254,34.75210189819336,24566.420104706,0.8176451511356417,0.6786786786786787,5.51500184500037,0.9742266401777714,0.8307355843283176,2.752282851566908,1.0465636260196982
16,0.0007860583300610849,98.40291172205359,98.1817570443458,0.44230955451731463,33.825260162353516,21140.090959762518,0.837293234509967,0.710691823899371,5.610736391998216,0.9832371598742946,0.8516980521860247,2.518366166339758,1.0583517103118336
17,0.0007591962841552626,97.56344117713644,97.34271762916407,0.44144719274635746,36.44441604614258,28882.13657660866,0.8127991971240957,0.6646884272997032,5.596242706000339,0.8924712244054185,0.8539164303555802,2.3506155071614527,0.8292285877186515
18,0.0007312691451204177,94.50683083884056,94.29386944051774,0.42592234732566103,32.468284606933594,17121.207628268752,0.8472065352760974,0.7466666666666667,5.403009787001793,0.7952314632372739,0.8283063622486123,2.195481513739634,0.8746301958802984
19,0.0007023916715611969,93.74742705345543,93.52988762032176,0.43507878585092385,36.68115997314453,28248.991580342354,0.8273930210705716,0.6607669616519174,5.588218454999151,0.7917438514471344,0.7864404445997438,2.1385807892585365,0.8456960068958113
20,0.0006726825272106538,91.54804625089545,91.33602359060063,0.4240451471310652,35.03853225708008,22146.395346047735,0.8253265793976996,0.7156549520766773,5.453836872999091,0.8092994630499476,0.7531725333341124,2.005433739573155,0.7940600016510692
21,0.0006422637933155162,91.29328847799934,91.08000190557868,0.4265731337513793,33.493194580078125,19180.2757674194,0.860050151405134,0.7202572347266881,5.600647292998474,0.7317130198051739,0.6492834907211111,1.8890961279404086,0.7539250299396237
22,0.0006112604669781572,89.48235259882841,89.27174303664589,0.4212189968271688,34.07661819458008,19844.660013705183,0.8463498799317846,0.7417218543046358,5.59239096100282,0.7333495192856345,0.674693408542954,1.8906135869736458,0.7984308375131987
23,0.0005797999475166897,88.47750311393685,88.26707401727339,0.4208581415153805,31.6872615814209,14896.313274876878,0.8619212394774726,0.7619047619047619,5.451008211999579,0.6845147218102451,0.641422125963037,1.7692656146080232,0.657667986942249
24,0.0005480115129538409,87.6966485921377,87.48456207721952,0.4241730129250731,32.52703857421875,16038.488844436652,0.8629927904447393,0.7560137457044673,5.610159805997682,0.681293639301742,0.6133003052585402,1.6927810648108668,0.6747481703113809
25,0.0005160257887858277,86.9958825989084,86.7828383264524,0.426088489505747,32.97922134399414,17630.56278183101,0.8656599355603761,0.7593220338983051,5.547373635999975,0.6269201628827388,0.6004274721210169,1.644647393186959,0.6262457188781669
26,0.0004839742112141724,86.90531891924023,86.68939353289718,0.43185090429919415,30.662513732910156,12992.37871144385,0.8859102468459371,0.7789473684210526,5.526954893000948,0.6148361874797005,0.5717524060389738,1.5587274335141665,0.541565162188339
