round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_nasa_score,global_test_auprc,global_test_f1,round_seconds,delta_norm_client_1,delta_norm_client_2,delta_norm_client_3,delta_norm_client_4
1,0.001,486.12402581799836,485.20834248134844,1.8313667943369858,43.953941345214844,168100.73947536806,0.23270095528102286,0.0,4.952296462997765,7.911288901284066,7.851285631947341,86.4266611379542,8.515692127382442
2,0.0009989726963751681,209.09243732921271,208.54872618790898,1.0874226128856477,34.922542572021484,207257.47177298614,0.7597826058741532,0.5454545454545454,4.938799531999393,7.892352111397701,7.898870082247763,85.10053563706805,8.352911312900495
3,0.000995895006911623,140.83400626729843,140.58364579606746,0.5007208258343431,30.39767837524414,40517.21809793547,0.8087220154890614,0.6464646464646465,5.019863647998136,3.4147463066159216,3.2274964861590094,45.212833401205,4.108635517237935
4,0.0009907795784955327,134.59429526751148,134.36390931158954,0.46077168947044045,29.338685989379883,46023.605053726154,0.8310950984766586,0.6956521739130435,4.830586455998855,2.666904492874288,2.2480978379167116,36.75012708796795,3.1826420672682025
5,0.0009836474315195148,128.17000730759642,127.95421437087658,0.4315856296162959,29.541919708251953,45273.580484709324,0.8331995092768504,0.6832740213523132,4.946867850998387,1.9407546325559701,2.1023517850077225,34.375714595848756,2.9295768296215132
6,0.0009745278735053344,124.74450927659852,124.53410196818615,0.4208148469541777,30.007347106933594,43432.39443186688,0.8448826845082509,0.671280276816609,4.942290306000359,1.8463960339289116,1.7734742638797818,29.98716702552468,2.636459985661107
7,0.0009634583786730109,121.22174384213581,121.01911489833503,0.4052577906790067,29.81397247314453,44162.85372519586,0.8478404915868246,0.6713286713286714,4.813352373999805,1.6914776381492622,1.458651318875279,27.306096464151643,2.3497687026987077
8,0.0009504844339512095,117.32926634622387,117.13427446516346,0.38998361772745405,30.02964973449707,40839.47337218537,0.8487510560338544,0.6805555555555556,4.963367375999951,1.654362890945043,1.34277995117624,24.502027424593905,2.254161053145412
9,0.0009356593520616947,114.39152925762647,114.2025475302119,0.3779635062085114,30.374462127685547,39821.683036259274,0.8493920807910731,0.6757679180887372,4.852893892002612,1.2985715838652536,1.3323190644714027,23.84695632736091,1.9942003656657374
10,0.0009190440524459203,113.88568482920073,113.69835083471064,0.37466782774242896,30.75367546081543,34695.34875728555,0.8484704644145703,0.6666666666666666,4.965771212999243,1.2819539059280178,1.270785102366331,21.917764416368605,1.6389258607866344
11,0.0009007068109339783,113.66412296977333,113.47660888274801,0.3750281762537358,30.00045394897461,31836.514947823824,0.8460875945545174,0.6971830985915493,4.973871340000187,1.1010917350087017,1.0090600762735704,20.43563178929585,1.5328245842712853
12,0.0008807229791845672,111.93665463443108,111.75189765813539,0.3695139988892403,28.534711837768555,53118.57991032176,0.8478585679529265,0.7251908396946565,4.925760353999067,1.0698049234852296,0.9895380301191253,19.52235627876796,1.5239276189374953
13,0.0008591746750488638,110.40099762637877,110.2174583686577,0.3670786823614928,29.143781661987305,44919.58311109906,0.8536388115572875,0.717948717948718,4.97345617999963,1.0442191010939441,0.9320696413942728,20.048261701142113,1.5125635141279559
14,0.0008361504451306584,108.81309404511931,108.63339854038776,0.35939115380360775,29.69255828857422,33519.98053332197,0.8503209884573868,0.6923076923076923,4.950230352002109,1.01835630800418,0.9005573622997292,19.727601546523125,1.3499312095729152
15,0.0008117449009293668,107.49474100286417,107.31670014543849,0.35608191163353786,28.831863403320312,42110.93834701779,0.8593662966563494,0.7265917602996255,4.869538162998651,1.0857367732887149,0.8207927250781983,18.634541575952596,1.3752749505996131
16,0.0007860583300610849,106.76182511117722,106.58381251935606,0.3560250771441753,28.507688522338867,37892.47125130242,0.854464690657816,0.7320754716981132,4.961510187997192,0.900517883856306,0.7884687805203928,19.0133000740273,1.236007359743064
17,0.0007591962841552626,106.82433948999117,106.64613729940957,0.3564045631013451,30.502281188964844,30684.231010609925,0.8539944539191622,0.6735395189003437,4.828559976001998,0.8517903790427594,0.8216671008391102,17.108636889627075,1.246805203154983
18,0.0007312691451204177,103.15913696753867,102.98654616509796,0.34518159419860306,29.775875091552734,32304.87090134022,0.8546808949443715,0.7028985507246377,4.941004467997118,0.9726767937489628,0.7571046900371663,17.97633788698233,1.231728792803238
19,0.0007023916715611969,103.07400950509259,102.8980553627111,0.35190851072218665,28.845314025878906,30178.913200995386,0.8617435865902487,0.717948717948718,5.103864806002093,0.8190088379491814,0.7809879242748364,16.833686881304928,1.184342597830142
20,0.0006726825272106538,101.96707705705205,101.79591459960146,0.3423252056269782,30.62774085998535,30103.71599399872,0.8578446920295353,0.6950354609929078,4.834759545999987,0.9304786509418589,0.7484957836424685,16.64726666743988,1.1007610577874454
21,0.0006422637933155162,103.24970895374602,103.0734452556972,0.35252739153971074,28.468650817871094,30654.879436745636,0.8681945876833205,0.7265917602996255,5.028498317999038,0.7376220709038668,0.7098964498001972,15.47000818217594,1.0371200386919326
22,0.0006112604669781572,102.17968818362186,102.0074330143294,0.34450999215566686,29.000944137573242,38086.383296555505,0.8559555630442329,0.7238805970149254,4.979028383997502,0.764320069938097,0.6531533764132496,15.191442645800658,1.0007705180698443
23,0.0005797999475166897,101.77800281172998,101.60127093460098,0.3534636044885969,29.60209083557129,29396.413898558487,0.8592141140878649,0.7054545454545454,4.8966025240006275,0.7708114234983267,0.6447343035525295,14.587641660375024,0.9557965736630079
24,0.0005480115129538409,100.77731763782859,100.6055786786741,0.3434779089407394,28.65740394592285,32051.377236494023,0.8603056392366818,0.7272727272727273,5.023779070997989,0.7001962905161344,0.6825753922261636,15.218763877068152,0.9390059932212921
25,0.0005160257887858277,100.38499938883722,100.20931710515704,0.3513646278967023,29.410198211669922,28468.66061081134,0.8573421646661561,0.7158671586715867,4.909960996999871,0.7272143889871306,0.6609909922495293,13.75333176932683,0.9106776266857602
26,0.0004839742112141724,99.94602359753097,99.7735305437966,0.3449858807630596,29.022855758666992,32510.182122628587,0.8588417089491416,0.7196969696969697,5.0346923359975335,0.6539537461356657,0.6186684280108181,14.660723081607294,0.9522354784217221
27,0.0004519884870461591,100.22669940709,100.0508581368866,0.3516826927251576,29.104957580566406,34572.57118997762,0.8584848842037347,0.7293233082706767,5.025616427999921,0.5749859544301302,0.6004419594886771,13.295771675978383,0.8947333765162035
28,0.0004202000524833105,98.73484836136078,98.56373581175015,0.34222471581324315,29.056760787963867,36993.884993139705,0.8584263198918588,0.7245283018867924,4.810035491002054,0.6262813201694702,0.624349333095285,12.78799781591821,0.8184465415562636
29,0.00038873953302184284,99.33396862409055,99.15839871445175,0.35113984088873584,28.718963623046875,34102.97431107772,0.8607119183802693,0.7348484848484849,5.007723647002422,0.5568226821027101,0.5573607049517827,12.183332342400545,0.8229544495551303
30,0.0003577362066844838,98.8648719507162,98.69359788270708,0.34254837387491976,28.75383949279785,35778.105137080274,0.8597849296709843,0.7230769230769231,4.965255812996475,0.5636658410978987,0.5313804285616812,12.293939847411522,0.7642258780199112
31,0.0003273174727893463,98.40480003431651,98.22975409040617,0.35009154405290965,28.553007125854492,38337.13068950131,0.864012493321545,0.7272727272727273,4.817943120000564,0.5994562006369436,0.5110469272850571,11.417225388000235,0.7177551851900209
32,0.0002976083284388031,99.2057560847744,99.02813980867575,0.3552327945390258,29.651613235473633,32963.92615090155,0.8591293186111102,0.7164179104477612,5.057910182000342,0.4982615406042757,0.4939716707655117,10.330339216681692,0.6776281071768544
33,0.0002687308548795825,98.83495040564796,98.65469594350132,0.3605088847789779,30.00160789489746,28262.59502558237,0.8600300490336645,0.7071428571428572,4.873379005002789,0.4784754447191024,0.4958818612033347,9.540101537255154,0.6573631274696778
34,0.00024080371584473748,98.74949512537,98.57113641439825,0.3567174227286045,29.194705963134766,31636.298137214326,0.8603220912291719,0.7211895910780669,4.942367985000601,0.44104425127642227,0.4237909738266172,9.720000433591226,0.6316821655363672
35,0.0002139416699389153,99.86381818892076,99.67823904260271,0.37115814182579465,29.596729278564453,32306.328777407456,0.862861261631124,0.7205882352941176,4.99778116500238,0.42720645127626816,0.38815220133339273,8.879893948689684,0.6001907518487217
36,0.00018825509907063325,100.82984977463275,100.64201602520475,0.3756676189237345,30.560035705566406,29070.84267754884,0.8539950672805039,0.7075812274368231,4.807152617999236,0.3818381917890637,0.39314488892088817,7.878782214813935,0.5343692622602524
37,0.00016384955486934156,101.56997442536593,101.37301370832655,0.3939212529336686,30.27044105529785,30156.090753966433,0.8602651453239961,0.7028985507246377,5.092249544999504,0.3508766659222394,0.38800528171462184,7.377254000925205,0.5096475939492444
38,0.00014082532495113625,102.54850670958517,102.34904949889224,0.3989141601694829,30.13543701171875,30402.592653816926,0.853980412134298,0.7153284671532847,5.0310075510024035,0.3246641109978352,0.33898459498929145,7.005532962706799,0.4503808739993935
39,0.0001192770208154328,104.01651380127117,103.81039829835399,0.41223114736167443,30.825252532958984,30746.146275317362,0.8569836436335517,0.6996466431095406,4.952397610999469,0.2941302711354403,0.30613982614990476,5.932037904270455,0.408369345909769
40,9.929318906602175e-05,104.64009580347273,104.42553180924362,0.4291283584709288,30.5408878326416,29125.38830936644,0.8536764510729395,0.697508896797153,5.046236039997893,0.2646029462453214,0.28969939546825446,5.557094805647492,0.38060876115562625
41,8.09559475540797e-05,106.02474586130111,105.80161251549222,0.4462664406147729,31.378772735595703,31141.961625833872,0.8546745759331617,0.6898954703832753,5.080975164997653,0.23547680018719314,0.2516503409756526,4.871981649777747,0.3406573810477888
42,6.43406479383053e-05,108.42804533653158,108.18984781662331,0.4763952832929426,30.64582061767578,31278.787040649768,0.8549878215472685,0.7046263345195729,4.853190567999263,0.21158237232041172,0.21390349365234948,3.9954512191507905,0.2833295075912496
43,4.9515566048790485e-05,109.73233512988847,109.48164358690205,0.501383204373774,31.203784942626953,32193.96099034843,0.8553118934715922,0.6996466431095406,4.997354246999748,0.17676549904503613,0.18632022050573205,3.4092912738457604,0.25287515391533927
44,3.654162132698918e-05,112.31689091416749,112.04851151580097,0.5367588418004083,30.798654556274414,30704.04983243288,0.8549777405839661,0.6996466431095406,4.835430397000891,0.14474979064968077,0.14439806683659706,2.793335491328228,0.20544282022047683
