round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_nasa_score,global_test_auprc,global_test_f1,round_seconds,delta_norm_client_1,delta_norm_client_2,delta_norm_client_3,delta_norm_client_4
1,0.001,494.9048970150278,494.0285610267676,1.7526723223855498,44.02648162841797,173721.35398850328,0.22789059391530542,0.0,5.419110596998507,7.911288901284066,7.851285631947341,9.022978231266965,8.515692127382442
2,0.0009989726963751681,211.23350782810695,210.68188075020782,1.1032541474036717,32.13460159301758,40844.481130963424,0.7766417607476938,0.6270627062706271,5.404950831998576,7.938971489317783,8.045342898127945,10.36198696144011,8.432386947638184
3,0.000995895006911623,147.39924454708432,147.1346899802286,0.5291090857019245,31.51119041442871,50257.389018681395,0.8036106327663872,0.6508474576271186,5.243321043999458,3.4792293621704435,3.043257087392104,5.748089304765047,3.8988306668928945
4,0.0009907795784955327,140.86524661100634,140.62264110778085,0.4852109401931059,29.67888069152832,81313.88207132134,0.8186296312569475,0.7126436781609196,5.403563001000293,2.279525072398572,1.9761586654568948,4.8510700612903,3.1048295506258365
5,0.0009836474315195148,134.89759095878586,134.6642508235558,0.4666805686995821,29.830284118652344,60533.45353080207,0.8211462453898385,0.7230769230769231,5.187508004997653,1.529437455561187,1.6996681194727192,4.604147653147055,3.035722847324868
6,0.0009745278735053344,133.003170537085,132.76764867137882,0.47104306522007056,32.22123336791992,69752.43856349387,0.8101350890629166,0.6597938144329897,5.345304966002004,1.3617242635079527,1.4813665937095304,4.27733510143423,2.490994164894384
7,0.0009634583786730109,129.9787410307959,129.7493003595637,0.45888175172420465,30.686485290527344,63975.50205205408,0.8341435585782823,0.6985294117647058,5.410773339001025,1.100316266874564,1.509896008734482,3.667342283172429,2.2469231316500404
8,0.0009504844339512095,127.9994612521741,127.77066728925142,0.4575881296831328,30.67203712463379,91533.65416405196,0.832969015510961,0.714828897338403,5.232984965001378,1.063932467040342,1.3559297795025735,3.171870201599263,2.124331549994441
9,0.0009356593520616947,127.70736906302378,127.47708806877074,0.46056187995525644,31.075946807861328,86499.2640042548,0.8365653546423857,0.7169811320754716,5.392762242001481,0.7115218410093396,1.2489666368327292,3.2122561362789805,2.061957237296246
10,0.0009190440524459203,125.62987630707877,125.40065309571503,0.4584462631546495,32.25003433227539,81219.92331944875,0.8364801294458678,0.6909090909090909,5.368834919001529,0.8250661768857019,1.292076876968305,2.7847230790068425,1.8374046888889732
11,0.0009007068109339783,123.59888806549766,123.37584817268814,0.44607984897232167,30.221036911010742,101064.4276052622,0.8403739637725997,0.7054263565891473,5.248949936998542,0.7815048747634351,1.486664012042575,2.4357669920209157,1.9806118390252139
12,0.0008807229791845672,122.23694856791755,122.0123649091802,0.44916754942212983,32.100425720214844,95187.66262317312,0.8453492125795702,0.6985294117647058,5.334781960998953,0.5923211866094964,1.3943475303188257,2.436616854200838,1.8145468089739565
13,0.0008591746750488638,120.72613324175823,120.50316059608794,0.4459452107245475,30.996414184570312,75307.06143037643,0.8408772827303659,0.7094339622641509,5.298562534000666,0.6317300247090906,1.4453202332242487,2.5207388110994278,1.8035342441498492
14,0.0008361504451306584,121.41091668377769,121.18454052191903,0.4527523743740548,31.922882080078125,61095.68455482289,0.8472505018325842,0.6909090909090909,5.413868619998539,0.6697454008454884,1.351146901580984,2.1690409637993833,1.7726495205283266
15,0.0008117449009293668,122.23216999668779,122.00014978824323,0.46404024836689534,29.69076919555664,104734.29262872503,0.8470832673939338,0.7368421052631579,5.472834866002813,0.4482366200815935,1.201980709469126,2.0450226491710373,1.6913757314685083
16,0.0007860583300610849,120.476008316342,120.24525341111371,0.4615096177937638,30.007980346679688,67493.85910711551,0.8521775509272604,0.7131782945736435,5.314889983001194,0.4405288973749846,1.1323591307593717,2.2174973351503438,1.6478837577848555
17,0.0007591962841552626,120.27549928574723,120.04486923936813,0.4612599650379323,29.576791763305664,91778.90623782911,0.8505556401658909,0.71875,5.427815988998191,0.3884543913993533,1.1732397246538266,1.9798515823787064,1.644047404432901
18,0.0007312691451204177,118.56177731738325,118.33420576630058,0.45514282670793516,31.017372131347656,70965.95245220112,0.853225497427084,0.7014925373134329,5.340255768001953,0.411632485668645,1.2255459796216648,1.9142469178715185,1.5582144819601367
19,0.0007023916715611969,118.76707379707342,118.53626119362711,0.4616250552285931,31.52462387084961,60162.36274562118,0.8534888332284657,0.6906474820143885,5.254915928999253,0.4080651948043441,1.1203397891538118,1.9351557092798186,1.5299899602496934
20,0.0006726825272106538,119.22434852731679,118.99267029582751,0.46335656363740685,32.3437614440918,58739.48188796435,0.8483786387279809,0.6785714285714286,5.402009518998966,0.3566497670090791,1.0712178362579212,1.7489014325168488,1.4772291625440088
21,0.0006422637933155162,118.711403609244,118.47551201507721,0.4717829110611444,31.301654815673828,57393.73503293957,0.8524043562287182,0.6985294117647058,5.281524736001302,0.3513161601623789,1.0801667670595854,1.6509841015112834,1.4572608960128235
22,0.0006112604669781572,117.98089490069768,117.74361425781328,0.47456172115567846,31.185649871826172,72246.81547411329,0.8534592840738783,0.6988847583643123,5.398813915002393,0.3175392216389052,1.0406823872833624,1.65593105342321,1.4200539965197956
23,0.0005797999475166897,116.22801878406693,115.99652591889885,0.4629854100106658,30.8914737701416,57505.72772021931,0.8530429431846502,0.7037037037037037,5.3615529100025014,0.34508791952617507,1.1045860553991451,1.7027382259354267,1.3493284672482937
24,0.0005480115129538409,116.33410467129197,116.09897102089883,0.4702675766705796,30.818355560302734,61201.00016061053,0.8539785417642614,0.7063197026022305,5.307036821002839,0.3306776421715491,1.0459199872599712,1.6144754889853996,1.3372533032207685
25,0.0005160257887858277,118.34913851232805,118.09786740565232,0.502542590311932,30.786109924316406,62572.64884125967,0.854414454881989,0.7014925373134329,5.34112783800083,0.23860205046309144,1.0276022863535685,1.402078689136675,1.2314411746916532
26,0.0004839742112141724,116.66540855249352,116.41591450859484,0.4989883082959192,29.7633113861084,71759.37338971965,0.8584101771577389,0.7215686274509804,5.446720668001944,0.2684439919745892,0.9405520187352869,1.4080123150467856,1.2531961857562857
27,0.0004519884870461591,117.09280260491285,116.84369202090998,0.49822145168507287,30.788951873779297,59230.436522399636,0.8545134086916178,0.7014925373134329,5.296283928000776,0.2760667998117811,0.9219320581919868,1.400395240245249,1.2191696815970097
28,0.0004202000524833105,117.3102834278071,117.04640681689281,0.5277532228899041,30.796123504638672,66409.87251568897,0.8555849984486039,0.704119850187266,5.479378627998813,0.20834631640110476,0.9126568534284605,1.3249227395565082,1.1676988040742633
29,0.00038873953302184284,117.23862419363246,116.9719334953822,0.5333811662426711,30.380971908569336,65269.03293466727,0.8562589501134621,0.7094339622641509,5.258099348000542,0.29263226791206165,0.8778597356945429,1.1373296559456294,1.164488156452604
30,0.0003577362066844838,117.19155236172588,116.92225384920847,0.5385971186317937,30.255184173583984,72319.02214166935,0.854868161151632,0.7209302325581395,5.364559571000427,0.17514906065570113,0.8908146785389658,1.1310066441907893,1.0798205352236914
31,0.0003273174727893463,117.86188823671228,117.57843931598492,0.5668980228196485,31.428667068481445,54431.150405112305,0.8566494591717234,0.7089552238805971,5.393284469999344,0.18212724971661678,0.824498822435271,1.0893841317607327,1.018472899147366
32,0.0002976083284388031,118.99455483342072,118.69048392423343,0.6081418041782328,31.137004852294922,56928.5413304139,0.8542407743107456,0.704119850187266,5.276609626998834,0.16811470866778788,0.7804591728280688,0.9312794766828845,0.9221464184968228
33,0.0002687308548795825,119.12794345309204,118.81217018719558,0.6315464961128731,30.257877349853516,59754.337323024796,0.855001499762393,0.7230769230769231,5.4126102209993405,0.18764531823631353,0.7481226504713159,0.917311026508848,0.9800516768463342
34,0.00024080371584473748,120.08194396284279,119.7542092030156,0.6554692658831889,30.632841110229492,64085.82588085208,0.8552307020903773,0.7121212121212122,5.353560938998271,0.13093737810955855,0.6998665706400841,0.7967548216304906,0.8813369800112635
35,0.0002139416699389153,120.46214089773999,120.11651006567804,0.6912619623785409,29.869014739990234,86243.80165501314,0.8586195662039641,0.7410358565737052,5.214839480002411,0.1308952355860872,0.6691306351269639,0.8451997049883354,0.8191786002684555
36,0.00018825509907063325,120.61562739550995,120.25856178739375,0.7141308616264961,30.245515823364258,61523.45374996468,0.8566723122375586,0.7258687258687259,5.397667609999189,0.19359079559502623,0.6315800628666062,0.7154823358007053,0.7945868900265575
37,0.00016384955486934156,121.22096609715092,120.83041562391676,0.7811011448326283,30.651947021484375,53506.40504662295,0.8571750118273584,0.7094339622641509,5.332476212999609,0.12563602911114702,0.648490634665668,0.650911791065053,0.7046963897243003
38,0.00014082532495113625,122.97257340992667,122.5553999706939,0.8343468672959047,30.67306137084961,53400.612972802366,0.8558669773900471,0.7116104868913857,5.38585120100106,0.12495959119421529,0.5543116324156354,0.6114585239323368,0.6198868690729655
39,0.0001192770208154328,123.72127409679015,123.27668934500116,0.8891693953387546,33.455535888671875,223009.78331985167,0.8009299890717904,0.6903553299492385,5.508169395998266,0.12693778774155395,0.5191210761071553,0.5318614574252141,0.5670549347014894
40,9.929318906602175e-05,120.53716178414878,120.29192579263199,0.490471611941695,29.802532196044922,43604.027123974534,0.8519871973938241,0.6784452296819788,5.218278114996792,0.3442326336300788,0.3721996693056546,0.5123545425327908,0.47268998435676585
41,8.09559475540797e-05,121.38432877467423,121.06672083972478,0.635215531843595,31.373498916625977,144392.6611296003,0.8338223317720133,0.7477477477477478,5.438441533999139,0.16436496882764093,0.3975681882414655,0.3681104336420905,0.4222529398408784
42,6.43406479383053e-05,121.18605721375299,120.93165431558285,0.5088058830097494,29.634449005126953,38134.71336220668,0.8495110015496761,0.6556291390728477,5.21229351799775,0.27014066544430737,0.2638799685464886,0.3291025977622639,0.3586384708043173
