round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_nasa_score,global_test_auprc,global_test_f1,round_seconds,delta_norm_client_1,delta_norm_client_2,delta_norm_client_3,delta_norm_client_4,delta_norm_client_5,delta_norm_client_6
1,0.001,703.4780938378138,702.7491635282064,1.4578618561992354,69.21361541748047,186408.32114280295,0.8049352339954736,0.3673469387755102,1.9975774480001292,3.9765342977009825,4.260994715221094,4.14841850618029,46.981405648739646,4.712104384854974,4.278630759753245
2,0.0009989726963751681,574.8341517678534,573.9542571762046,1.7597879835304526,55.79917526245117,48879.82790575434,0.7038340492702294,0.5641025641025641,2.1019179429999895,4.115447894472401,4.610565501861315,4.464972324142264,54.702026482857285,5.6380482951613615,4.8615326406582104
3,0.000995895006911623,426.8766832202403,426.1499495045023,1.4534658120273027,39.0966796875,8173.379398617401,0.7246772219003705,0.65,1.9736105829999815,5.625379141320756,6.034523563206789,5.846010815316304,65.74576257659396,6.660625633745951,6.014869605283771
4,0.0009907795784955327,247.26522631627157,246.78673232112567,0.9569874804883591,25.035362243652344,3653.11380819231,0.8437534128682878,0.684931506849315,1.9877404060000572,3.3698994638779296,3.669583050685744,3.6022353427006433,37.1138596671486,3.6819919471855216,3.6237178926079596
5,0.0009836474315195148,124.50234721692011,124.18773488209933,0.6292245773591372,21.336097717285156,6052.058330475315,0.927454744355297,0.759493670886076,2.01534093500004,3.1199405070185744,3.6172341023564645,3.401538727045258,35.98076488141111,2.9672366761705478,3.540362048195436
6,0.0009745278735053344,92.2434323419548,92.03264377523385,0.4215775215603251,19.62550926208496,4041.2589379574342,0.9465062126920738,0.8148148148148148,2.038369214999875,1.595866754456787,2.0229172775226316,1.9073524114414213,24.464971989037018,2.074187374145533,2.438822517668415
7,0.0009634583786730109,85.68990339756886,85.53101656037984,0.31777415415326177,19.803110122680664,3967.7960121595047,0.953397586815508,0.8536585365853658,2.049999021000076,1.3827572084384334,1.3852995942575206,1.4402813140743387,21.503465204737285,1.7203488450680378,1.8796976354679338
8,0.0009504844339512095,82.55366219664624,82.4148771205099,0.2775701452730028,20.10526466369629,3758.329712113063,0.9537756133570011,0.825,2.0706368379999276,1.0957694527943314,1.2647368214139625,1.264864532230309,18.162863629426106,1.446170941853893,1.6712198037121675
9,0.0009356593520616947,80.83547813544426,80.70659387100788,0.2577678291940852,20.055198669433594,3426.618167827116,0.941537701621638,0.8395061728395061,1.944407953999871,0.9570576675042389,1.0027139312581126,0.9372484574487518,18.383294964058376,1.330761403858959,1.3772431005284502
10,0.0009190440524459203,78.58003866921696,78.46029694856723,0.23948385630568692,20.520320892333984,3410.981433918392,0.9368038959077168,0.7631578947368421,2.09026561099995,0.9997009432452899,1.1371493411009863,1.0411901693429853,15.597134883415398,1.2386203288951065,1.3774043687489534
11,0.0009007068109339783,76.89093050356728,76.77739224813473,0.22707609790890004,19.906511306762695,2996.253777053797,0.9165876448792535,0.7848101265822784,2.0045150710000144,0.9796734281311614,1.0529371631102968,0.7995191853725017,15.747962707632011,1.2912356669135832,1.2124374909572593
12,0.0008807229791845672,75.003775786667,74.89422043321055,0.21911054903384805,20.93523406982422,3640.7150206019687,0.9065914477010677,0.7368421052631579,2.0713058579999597,0.8588760141190797,1.0186880202358681,0.8560801467226492,15.417908688746548,1.3572590435164953,1.1164189923837964
