round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_nasa_score,global_test_auprc,global_test_f1,round_seconds,delta_norm_client_1,delta_norm_client_2,delta_norm_client_3,delta_norm_client_4,delta_norm_client_5,delta_norm_client_6
1,0.001,717.4072408753173,716.6179468785982,1.5785882902723876,70.77313232421875,216030.38874056522,0.7322179991684071,0.0,8.106070104999986,4.129975704383743,3.850495842723291,3.9745257515895176,4.478497455538184,4.5305938384732585,4.401509410728673
2,0.0009989726963751681,588.1485450839574,587.4110540217265,1.4749828429577816,55.58023452758789,47899.60469990106,0.8256991515338697,0.7155963302752294,2.149856045000007,4.559440573456826,4.174059706447779,4.414317197834907,5.218934013616835,5.36714136993454,5.046048555484764
3,0.000995895006911623,419.5999080254585,419.05902524736194,1.0817677643059447,36.25736618041992,6280.815724271577,0.8189505813095483,0.7012987012987013,2.161970384,5.454613041093112,5.140740019604142,4.942199470663682,5.760360437345088,5.801028188019283,5.741573562354573
4,0.0009907795784955327,232.77335215870207,232.45311981682826,0.6404644910090723,21.876108169555664,4048.977060802452,0.8621879082375953,0.7674418604651163,2.2912432269999954,3.586862360363102,3.1348782549984784,3.287782373251334,3.496200148708125,3.5244268335540823,3.7759142589565684
5,0.0009836474315195148,117.73246723130728,117.52469511387817,0.4155440042990304,19.60099220275879,3198.959135984513,0.8845329367586289,0.8444444444444444,2.1100575840000033,3.1344604990872127,2.9784732614946456,3.033603195966992,3.1559131630581487,3.099752185420833,3.3836431126503514
6,0.0009745278735053344,95.59203544989828,95.43079576106418,0.32247925724971976,17.565608978271484,1842.7019684839852,0.9056127883928713,0.8571428571428571,2.092502981999985,2.2004469452519198,1.9215163877470072,2.077194652688163,2.3689610297624006,2.3781091468233138,2.484071950948041
7,0.0009634583786730109,86.21751614699394,86.09321454773367,0.24860318870019027,17.9942569732666,1771.7013363234946,0.9082749659065465,0.8181818181818182,2.1433658649999927,1.445061615297861,1.6680195850198796,1.5483619622299498,1.780726732817033,1.6068062208313438,1.8981673530914696
8,0.0009504844339512095,81.43075657206519,81.32192097944595,0.217671090707893,18.68800926208496,1944.8487248778197,0.9118205709299736,0.8192771084337349,2.2325713539999867,1.3627273810188696,1.297517107345811,1.5218786234263928,1.3647951924676192,1.5415495957796979,1.5462838407199349
9,0.0009356593520616947,80.46355349683402,80.36337614489946,0.20035489136849358,18.210140228271484,1766.977398828712,0.9241414611565201,0.813953488372093,2.098195875000016,1.2696498770446643,1.137238541107426,1.2126904637419123,1.1960182573794782,1.3283578258665938,1.0803609345489344
10,0.0009190440524459203,78.27542563017597,78.17553184358565,0.1997877579139444,18.12175941467285,1715.1768264535149,0.9402794316700259,0.8235294117647058,2.0498417209999786,1.0982837130610468,0.9347341309877008,0.9793736161339919,1.1399484030412799,1.1035281760157405,1.265984216863982
