round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_nasa_score,global_test_auprc,global_test_f1,round_seconds,delta_norm_client_1,delta_norm_client_2,delta_norm_client_3,delta_norm_client_4,delta_norm_client_5,delta_norm_client_6
1,0.001,717.4072408753173,716.6179468785982,1.5785882902723876,71.0290298461914,221118.95196109574,0.6735014974090121,0.0,2.0590871199999583,4.129975704383743,3.850495842723291,3.9745257515895176,4.478497455538184,4.5305938384732585,4.401509410728673
2,0.0009989726963751681,591.5338463378988,590.7920888378749,1.4835169596288125,56.20581817626953,51161.96864692651,0.8241469523042975,0.6771653543307087,2.009458921000032,4.655613414883769,4.26606485706556,4.510199292996388,5.346672988114077,5.474861126183353,5.096417807739643
3,0.000995895006911623,428.8435963864309,428.2453404220466,1.196512419065022,37.13640594482422,6904.219731202042,0.8147899309745603,0.717948717948718,1.9744894830000135,5.62675681843988,5.232476113119943,5.0921406967450045,5.988336877489762,6.048098113860245,5.954414372325549
4,0.0009907795784955327,240.78330165938772,240.40417035532914,0.7582620830958774,22.240007400512695,3752.425261617145,0.8711192333921929,0.7764705882352941,2.1705415039999707,3.673512228237598,3.197947972029376,3.3866487978721165,3.526297792695104,3.567849397415186,3.805070820336312
5,0.0009836474315195148,120.93171921293515,120.69457207432562,0.4742944496805042,19.381296157836914,2892.2055000760092,0.8913230627053539,0.8444444444444444,2.1051059390000546,3.3276324918362743,3.124110077703152,3.2052237600330917,3.399634390487489,3.148302601601751,3.4660919816356657
6,0.0009745278735053344,95.00075429725712,94.82476360961526,0.35198116542159985,17.75498390197754,1835.2616842114585,0.9152630137553193,0.8695652173913043,1.997345413000005,2.252796783568479,1.92687278590285,2.1369917996810064,2.3081818827071854,2.284819493386319,2.4023395317893645
7,0.0009634583786730109,86.0268445496135,85.89721165976904,0.2592662164842509,17.937360763549805,1728.22734660892,0.9248923638113051,0.8505747126436781,1.9820538269999588,1.389147104425039,1.5752752291457086,1.6091347079454112,1.8429165957604776,1.6374889882932535,1.9483508124626265
8,0.0009504844339512095,81.8064292860607,81.6956327529816,0.2215929370992951,18.107080459594727,1748.458109886191,0.9264817779021649,0.8666666666666667,2.299590627999976,1.399161277250038,1.2410787779436872,1.4332845586950902,1.3371503031918588,1.5553769418871453,1.5375022691388578
9,0.0009356593520616947,80.56258425974956,80.46162168104149,0.20192517008615926,17.594200134277344,1646.0463540216242,0.9411756656986563,0.8666666666666667,2.0100105060000146,1.2126804155656308,1.0766388387389338,1.1873706581265815,1.2443161293963199,1.3547316313892979,1.1606059388483925
10,0.0009190440524459203,78.31547312364619,78.21728056799269,0.19638508125862705,18.09530258178711,1833.9481041571594,0.9425790712248688,0.8604651162790697,2.0609862470000166,1.0378292007989538,1.0127898749462685,0.9518469847939874,1.2178774934677823,1.050741420810273,1.3171762787019428
11,0.0009007068109339783,76.1788637170162,76.08332018803405,0.19108698600801577,17.426374435424805,1680.609879722878,0.9488575817990785,0.8863636363636364,1.960525983000025,1.1688732204887162,1.0067932061692444,0.8799153378890932,1.2766446714093105,1.1353946467726321,1.0790871434840477
12,0.0008807229791845672,74.0766789471304,73.98438220491906,0.18459388867455848,16.929574966430664,1509.5078093887137,0.9534497098264442,0.9010989010989011,2.110407683999995,1.101370735570347,0.9426384726005104,0.8666857507802137,1.2473503591936432,1.0600534081158273,1.0904003168598142
13,0.0008591746750488638,73.38914005823572,73.3003481944727,0.1775836471261537,17.24888038635254,1663.8271479966947,0.9633737290822891,0.896551724137931,1.940766167999982,0.9185232219187094,0.8752361146161368,0.9050159969035465,1.0458843592522715,0.9459976312069128,1.0345962669387871
14,0.0008361504451306584,72.18343740869246,72.09435897941084,0.1781568179546682,16.897476196289062,1596.8425755377766,0.9645356170552027,0.9213483146067416,1.9643919810000057,0.8957368810516855,0.7579700409790047,0.8796293619723368,1.0739791766729228,0.9316593618938226,0.8716189713692333
15,0.0008117449009293668,69.29484405998929,69.20976811023542,0.17015183206132456,16.822589874267578,1519.9738825123234,0.9593786515980877,0.9230769230769231,2.118238366000014,0.7946478016155213,0.9786342839923874,0.7945453945182492,1.0941007383848829,1.0181368119360794,0.9595455297668748
16,0.0007860583300610849,69.45239225748553,69.36795270496158,0.16887902098863142,16.780622482299805,1568.8202889916931,0.964174436943745,0.9230769230769231,2.1825240289999783,1.008759342000478,0.804069944789263,0.6817824073600028,1.0519480184856405,0.8808818007728976,0.9560491051716342
17,0.0007591962841552626,68.25766637217401,68.17197185939881,0.17138910850718933,16.417217254638672,1438.9172702340195,0.9690216556351635,0.9333333333333333,1.9517564300000458,0.9153470008338265,0.7270520190037896,0.7323472181340903,0.9366131648036256,0.9117719217058393,0.8486746395263896
18,0.0007312691451204177,66.06237635694963,65.98039125325069,0.16397039595346927,17.22758674621582,1816.7018967420356,0.9689468267832451,0.9213483146067416,1.967719312999975,0.752076050079469,0.7623711941745455,0.6962885497377329,0.9795181121211272,0.9269687716692864,0.8916282323138325
19,0.0007023916715611969,64.97314517974094,64.89208764573665,0.1621147965722498,17.41683006286621,1937.7283474697745,0.9709393033130451,0.9090909090909091,2.029720563000012,0.7207218751318902,0.8531348913544045,0.7493637707114488,0.7991101424749443,0.8691259396651575,0.8109698616483952
20,0.0006726825272106538,63.06370282425763,62.98327524393869,0.1608550109673633,17.365571975708008,1943.3466517680388,0.9691848177231378,0.9090909090909091,2.2150512399999798,0.7871305408292535,0.6966489084786958,0.6575875605269819,0.9632146441030667,0.8465807842961166,0.7413036508531102
21,0.0006422637933155162,62.893285609526835,62.81489130672367,0.1567884788146718,16.563703536987305,1599.3805152138884,0.9656293676879124,0.9230769230769231,1.9854136980000021,0.6806012594937195,0.6317854484541849,0.6221365748242493,0.7515593889039793,0.7815303543782797,0.645963614596982
22,0.0006112604669781572,61.84003115715277,61.76126093898251,0.15754030456732795,17.030492782592773,1877.2309465382423,0.9729124542686238,0.9213483146067416,1.9811498009999582,0.5917841532444661,0.6945913876447852,0.5772907069401905,0.7710598179173614,0.7293536878200216,0.5921127052307421
23,0.0005797999475166897,60.72084631358473,60.644225562189796,0.15324149618266328,16.32160758972168,1440.869776060124,0.9662852235042305,0.9230769230769231,1.9303494600000022,0.6340474983633744,0.6104285619921045,0.5037785199494375,0.6571915283195253,0.7213386680394256,0.6317347213005376
24,0.0005480115129538409,59.830624542818875,59.75646445655921,0.1483200405499169,17.434070587158203,2033.6877711664317,0.9715030751711667,0.9090909090909091,2.164525444999981,0.5159771094219116,0.571437759162926,0.5506756795671378,0.6780539143037548,0.5735701543537378,0.7025174150568606
25,0.0005160257887858277,58.08060158778807,58.007314198745085,0.14657461606905153,17.114030838012695,1867.8629517331171,0.9672026013214807,0.9090909090909091,2.116546301000028,0.6327272473251435,0.5112492183418262,0.4821811427508225,0.6126134614228088,0.5602815272279669,0.6377100920885598
26,0.0004839742112141724,58.05199604132357,57.9778947970868,0.1482023300704937,17.001440048217773,1796.005373118623,0.9678549582238376,0.9090909090909091,2.007941310000035,0.4802229369512152,0.47352283283844393,0.4359562502237939,0.6233426190549103,0.5446100591125917,0.4885033925550763
27,0.0004519884870461591,56.893932387754454,56.82177324977308,0.14431828786065462,16.737485885620117,1688.260699492248,0.9662637415551464,0.9090909090909091,1.9406480189999797,0.509366866833467,0.4503658048113833,0.4311240532764159,0.6764083330343724,0.542226951010062,0.5224454900448953
28,0.0004202000524833105,55.60649922811399,55.53330199179047,0.14639442939855382,16.762508392333984,1733.824712343221,0.9669631039644517,0.9090909090909091,2.163951826000016,0.5618784750863896,0.41551938058901955,0.36837031045207574,0.5796173567301927,0.4913333683020696,0.5508105785382427
29,0.00038873953302184284,54.61432198039665,54.54455074641783,0.1395425822491558,16.89891242980957,1805.0452633766836,0.9660787409585556,0.9090909090909091,2.146379778000039,0.5120104743382239,0.4009741222317723,0.3554303217905074,0.5357992667300852,0.4653181428295513,0.4270687930547825
30,0.0003577362066844838,53.83831954524584,53.76873474270288,0.13916970491563088,16.954513549804688,1854.7168064921143,0.9659969203895725,0.896551724137931,2.051770552999983,0.4558150066157306,0.4054204763081119,0.335701137750392,0.5670066551202154,0.4159244792140961,0.43519552773327064
31,0.0003273174727893463,52.64204961413628,52.56994076346115,0.1442176879148126,16.761137008666992,1780.579942244995,0.9664217115181452,0.9213483146067416,2.029228197000009,0.41156457685580067,0.38677227629695815,0.3190768026589315,0.4502962636653021,0.42091229412458037,0.4157663256836405
32,0.0002976083284388031,52.497333573027866,52.43016977101343,0.13432740578886135,16.839962005615234,1852.3204670493985,0.9650126742677223,0.9213483146067416,2.1198502809999695,0.3911121783973356,0.3199235780543236,0.26605394070902383,0.4761118588713446,0.3705202160805618,0.35061173830550707
33,0.0002687308548795825,52.09468596451827,52.02771605527291,0.1339399776297341,16.868318557739258,1857.3207816387553,0.9644979198256223,0.9213483146067416,2.1362235109999688,0.33392851145921865,0.3066134795359695,0.2706386850879954,0.42419766713672313,0.32505516161381826,0.4052795757145102
34,0.00024080371584473748,51.34191155495972,51.27485688059676,0.1341093625934989,16.823810577392578,1829.4140264305333,0.9636153351132504,0.896551724137931,2.3212608599999953,0.32322034052735765,0.3009837234207204,0.2754829973645401,0.403333722063631,0.30667801995334293,0.3391455039506904
35,0.0002139416699389153,50.70276706899631,50.63623135677415,0.13307136986590348,16.868192672729492,1875.0626563673413,0.9642676920156072,0.9090909090909091,2.0839032920000022,0.29990205203374487,0.24633573556037316,0.2358358765605442,0.3804765041546562,0.28540847850206247,0.30376621336788784
36,0.00018825509907063325,51.161007467606844,51.09329324947871,0.13542855799981876,16.97516441345215,1947.14168705583,0.9661811539776354,0.9090909090909091,2.1406080319999887,0.27864518916406467,0.2255134470175186,0.19882628756908557,0.3577096060308928,0.29481436768757285,0.28291141523690977
37,0.00016384955486934156,50.598025485588295,50.5314409713034,0.13316917727929597,16.735597610473633,1801.894980073499,0.9629432921024976,0.9090909090909091,2.01641546999997,0.2761636937747481,0.2196327348343199,0.17105286300364944,0.3202326797293404,0.23627133915410437,0.26960549288623975
38,0.00014082532495113625,50.38578532977354,50.31964216861403,0.13228643899955372,16.64925765991211,1769.044007903147,0.9629432921024976,0.9090909090909091,1.944345258999988,0.21202973188878563,0.17247477109693846,0.16358608967186655,0.2920559395921991,0.21431912848250384,0.23984331138412338
39,0.0001192770208154328,50.72217159860471,50.6563021480861,0.13173904460423527,16.775922775268555,1812.1094465478693,0.9606625903481116,0.9213483146067416,1.9797593450000477,0.18790188462821894,0.16683726398236035,0.12672627826433466,0.2728338241683702,0.18304404050473508,0.21931864006276783
40,9.929318906602175e-05,50.478337093785484,50.41279038595538,0.1310932781686133,16.889801025390625,1872.209936118079,0.9587928759151462,0.9090909090909091,2.389950409999983,0.15972223803694216,0.144316362770815,0.13295922457787113,0.2191914481693713,0.15390628304143508,0.19470370192406364
41,8.09559475540797e-05,50.44378651281233,50.377497909709234,0.13257726099121409,16.67291259765625,1767.847568308281,0.9587928759151462,0.9090909090909091,2.0327971570000045,0.1364226083216109,0.11144025856308418,0.11416416788016276,0.20159009585597554,0.1521497144874903,0.17218380827650348
42,6.43406479383053e-05,50.314902188233276,50.249851903186574,0.13010060016808597,17.035417556762695,1970.962924911793,0.9607370090673042,0.9090909090909091,1.9555108040000277,0.12367843363520814,0.09762966148690948,0.08845677178340217,0.184086263137659,0.1151013778546079,0.14130507688477673
43,4.9515566048790485e-05,50.4920620332067,50.42650120387143,0.13112159655921984,16.695077896118164,1801.904328716966,0.9591051442001453,0.9213483146067416,1.966713493000043,0.09623805986410092,0.07891587365578347,0.07541741623816008,0.15891758267164055,0.0975156956451412,0.12246327658214387
44,3.654162132698918e-05,50.60613219437687,50.53815745263029,0.13594959865095968,16.903152465820312,1917.0927342954426,0.9594298195248205,0.9090909090909091,2.151869783000052,0.08347842390819431,0.059349969253095526,0.06353553274039712,0.13138958863373806,0.08774070456604346,0.09016212897318567
45,2.547212649466568e-05,50.8266839287179,50.75812844236149,0.13711094151339312,16.686431884765625,1815.1375879518978,0.9586241523696866,0.9213483146067416,2.0199417549999907,0.06160013612436582,0.04374230040725916,0.047602163921993325,0.10765874701755201,0.07078548906941547,0.06981824435845703
46,1.6352568480485276e-05,51.667703451791404,51.59847235568157,0.13846226211026025,16.7917537689209,1867.7662530201817,0.9579861938369912,0.9213483146067416,1.9550707189999912,0.04610783760541543,0.031015490810749495,0.03854110923336242,0.07760381120741033,0.059604511033073786,0.046425371420492405
47,9.22042150446728e-06,51.8382300856507,51.76678514772491,0.14288999301005398,16.688501358032227,1817.6822340131168,0.9579861938369912,0.9213483146067416,2.067785644999958,0.029785708601164976,0.020603494747787082,0.02570819840322863,0.04751706419495216,0.04457238598585394,0.029648600336103646
48,4.104993088376974e-06,52.90218167697309,52.829974279386015,0.14441478039230493,16.686054229736328,1824.4993778516603,0.9583409753238482,0.9213483146067416,2.148675566999998,0.016639132044537232,0.015009225934321758,0.014493376731295715,0.02452157631937554,0.029464178677206486,0.015608320454510237
49,1.0273036248318324e-06,54.3179793790749,54.245351468191615,0.14525595323640242,16.66341209411621,1815.7774264153184,0.9586542585318683,0.9213483146067416,2.1691483949999792,0.004997175528738138,0.006154088329013959,0.004845350683528862,0.0068119492683158525,0.00937748553368525,0.004616163814761418
50,0.0,54.71021198775671,54.636731579744946,0.14696109716577696,16.66341209411621,1815.7774264153184,0.9586542585318683,0.9213483146067416,2.0305593690000023,0.0,0.0,0.0,0.0,0.0,0.0
