round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_nasa_score,global_test_auprc,global_test_f1,round_seconds,delta_norm_client_1,delta_norm_client_2,delta_norm_client_3,delta_norm_client_4,delta_norm_client_5,delta_norm_client_6
1,0.001,710.6474596953562,709.9455097018014,1.4039033921436672,84.03253173828125,709793.6545800879,0.17208204529741736,0.0,2.3101041259997146,4.06018377275646,4.144557555052216,4.173932664845155,46.74775027492578,45.671694419923725,4.487513424531948
2,0.0009989726963751681,794.9946054651209,794.4194990543673,1.150210750988189,84.03329467773438,709839.7036742936,0.4066110932821364,0.0,2.0092709159998776,5.746950048386833,5.982755704269422,6.021445012155639,72.47694010363521,70.32740150032953,6.771868183837941
3,0.000995895006911623,800.4944344148074,798.8654170559054,3.2580363916390227,84.03329467773438,709839.7036742936,0.13996452557686612,0.0,1.9924744859999919,6.031413417474434,6.322444653568993,6.354770731578809,76.52880107834572,73.64455478235621,7.093084549331481
4,0.0009907795784955327,811.7522151053013,798.24717571192,27.010082781543222,84.03329467773438,709839.7036742936,0.225,0.0,2.122421662999841,7.143285063495892,7.50474302840413,7.456912981652648,93.07424885933162,91.38600939836557,8.8286109987697
5,0.0009836474315195148,849.6312298515335,798.6522579006197,101.95794218768822,84.03329467773438,709839.7036742936,0.225,0.0,2.36512840100022,7.256472153813414,7.58549617672992,7.60985866039332,92.49882603911175,88.81793364212407,8.595576978194964
6,0.0009745278735053344,941.0050158645672,798.4377358462707,285.13456065596256,84.03329467773438,709839.7036742936,0.225,0.0,2.0380221079994953,7.391376507145542,7.745814126971408,7.710082325289138,95.14086745686653,91.75158341885681,8.853469010763975
7,0.0009634583786730109,1091.779861574955,798.0697569502254,587.4202088116607,84.03329467773438,709839.7036742936,0.225,0.0,1.990878350999992,7.331869368287473,7.887455418970325,7.693274186487705,98.74047145266474,94.0796124243533,9.104280727309533
8,0.0009504844339512095,1309.2788900178055,798.9108624642485,1020.7360605256572,84.03329467773438,709839.7036742936,0.225,0.0,1.975757055000031,7.15266256400911,7.543821911753727,7.521262904204501,95.19503944311043,91.76735390210052,8.787976297567688
9,0.0009356593520616947,1640.5536618800086,798.3805231047563,1684.3462716469605,84.03329467773438,709839.7036742936,0.225,0.0,2.2059785960000227,7.245430976073333,7.629416284963149,7.552655502743482,94.5722475202213,90.21301641586614,8.718048353268435
10,0.0009190440524459203,2061.2350951764615,798.2298585825137,2526.010476126323,84.03329467773438,709839.7036742936,0.225,0.0,2.045991483999387,7.098832542606023,7.43601264638516,7.407173268536742,94.48493756975434,90.19374903526312,8.725799835251875
11,0.0009007068109339783,2592.7646986887407,798.463093691137,3588.6032148187496,84.03329467773438,709839.7036742936,0.225,0.0,2.0090479679993223,6.945856853199175,7.317963768609494,7.263356764888189,91.80743872106443,88.07178034328057,8.427776989613887
12,0.0008807229791845672,3224.06302867225,798.4772431267996,4851.1715672165965,84.03329467773438,709839.7036742936,0.225,0.0,1.9628265489991463,6.8872651092279105,7.238800595452989,7.160995311778624,90.89423678002754,87.57757773792822,8.426517031469277
13,0.0008591746750488638,4011.15067948367,798.554846814253,6425.191673725523,84.03329467773438,709839.7036742936,0.225,0.0,2.1497460420005154,6.723554670586976,7.073141769865028,7.065785371359105,88.02220348844257,83.74911733092874,8.229121060404626
14,0.0008361504451306584,4888.22449103672,797.8950584098066,8180.658867463139,84.03329467773438,709839.7036742936,0.225,0.0,2.0483184869999604,6.600922997073554,6.882784985066879,6.788266323696797,86.28675361032738,82.37532951744053,7.99620353799255
15,0.0008117449009293668,5940.183873969214,797.8678930151278,10284.631969230926,84.03329467773438,709839.7036742936,0.225,0.0,2.0815222159999394,6.307997433764337,6.6644634582429685,6.670652956939366,83.5154704554554,80.8211856452991,7.753731525334526
16,0.0007860583300610849,7021.575955117912,798.8809026570303,12445.390119068143,84.03329467773438,709839.7036742936,0.225,0.0,2.016952492999735,6.039173686629764,6.347718488116935,6.332417348204751,80.24426119254937,77.18286832196694,7.3724757605663305
17,0.0007591962841552626,8322.11706308355,798.45170971644,15047.330690102337,84.03329467773438,709839.7036742936,0.225,0.0,2.273484590999942,5.935594823748696,6.286012083079442,6.304604595870701,79.06209963448197,76.13518352154658,7.3367200027357
18,0.0007312691451204177,9654.497636486089,798.827836380682,17711.33959919585,84.03329467773438,709839.7036742936,0.225,0.0,2.051774931000182,5.7517115292919225,5.98265050286722,6.029624414375931,75.73768403343354,72.72377383537984,7.054681923358945
19,0.0007023916715611969,11187.000842992376,798.1568678814251,20777.687962946744,84.03329467773438,709839.7036742936,0.225,0.0,2.078930823000519,5.443745738635584,5.700778878580821,5.689215260876669,71.79130430382578,68.97211468873063,6.62484215200311
20,0.0006726825272106538,12692.033369729435,798.3827276797647,23787.301285418023,84.03329467773438,709839.7036742936,0.225,0.0,2.1208107200000086,5.175516033223699,5.460159306085084,5.482621610075134,68.47190984622696,66.01040911251917,6.318665677382109
21,0.0006422637933155162,14350.73539378106,798.6517461434082,27104.167283516683,84.03329467773438,709839.7036742936,0.225,0.0,2.1709118850003506,5.062042138091895,5.293967614896548,5.272521099367264,65.68278025910627,63.40603703190757,6.088969518908026
22,0.0006112604669781572,16000.272660432596,798.6598193850881,30403.2256770555,84.03329467773438,709839.7036742936,0.225,0.0,2.1065010669999538,4.757328754836398,5.042421458166772,5.02167885862297,62.260036092303395,60.51738403868835,5.816919728496146
23,0.0005797999475166897,17725.07140450001,798.6579057778135,33852.826989447756,84.03329467773438,709839.7036742936,0.225,0.0,2.034456076999959,4.505379165890305,4.724309135035027,4.667963927407636,58.902124970944385,57.27168278840416,5.452755439730225
24,0.0005480115129538409,19508.205410474144,798.9848862010616,37418.441062191596,84.03329467773438,709839.7036742936,0.225,0.0,2.1109774760006985,4.138276331371951,4.385408153909116,4.38400498044035,55.56914928358747,54.41486058586426,5.171491523460842
25,0.0005160257887858277,21274.507682543383,799.2211955319711,40950.572959846635,84.03329467773438,709839.7036742936,0.225,0.0,2.2490497149992734,3.9946605195213785,4.229287609108937,4.1603868410404585,52.77850362979589,50.258416093818504,4.778486389039511
26,0.0004839742112141724,23135.496834311347,798.4507895719789,44674.09211223914,84.03329467773438,709839.7036742936,0.225,0.0,2.0729280149998885,3.7419716466255504,3.9635608877995856,3.985890179533438,50.138342719210605,48.22782371433283,4.645075767245805
27,0.0004519884870461591,24910.55411074036,798.0882995922202,48224.93160998527,84.03329467773438,709839.7036742936,0.225,0.0,2.2066186430001835,3.4982372281675085,3.6869043596527917,3.685839644036008,46.38091195804002,44.8205274906488,4.279509778265069
28,0.0004202000524833105,26615.46150289869,798.7578925451234,51633.407230757875,84.03329467773438,709839.7036742936,0.225,0.0,2.2911573679994035,3.2061004185489197,3.422333324348413,3.4175607721784678,42.988682906341815,41.691559822844845,4.003147734296037
29,0.00038873953302184284,28377.825676764714,798.5325337782606,55158.586308900405,84.03329467773438,709839.7036742936,0.225,0.0,2.246441968999534,2.9711432258857338,3.140206603260244,3.152842390140368,39.78990417560157,38.50157347757931,3.678619624186397
30,0.0003577362066844838,30011.17470342413,798.1990168737442,58425.951432228925,84.03329467773438,709839.7036742936,0.225,0.0,2.067339283000365,2.7503512987104064,2.9190822443740863,2.9092101078264685,36.75483400759536,35.449325085082684,3.3979346047481296
31,0.0003273174727893463,31536.15150024649,798.3549401264722,61475.59314139085,84.03329467773438,709839.7036742936,0.225,0.0,1.993679971000347,2.5165867724278344,2.643990729001853,2.647842738292082,33.746957485279225,32.61663268582105,3.1015553404048286
32,0.0002976083284388031,33110.05235637593,798.1243367291605,64623.855896483255,84.03329467773438,709839.7036742936,0.225,0.0,2.083080190999681,2.289780687793988,2.425074336520617,2.426110355254792,30.512057908208636,29.621401965502688,2.8167356726285733
33,0.0002687308548795825,34373.443296367645,798.3884089591306,67150.1097979104,84.03329467773438,709839.7036742936,0.225,0.0,2.1764161490000333,2.0447556727127574,2.159267651027821,2.1503261104837534,27.65098328121583,26.398299024562228,2.5368894340686423
34,0.00024080371584473748,35609.01078383945,798.4922111229356,69621.03714738264,84.03329467773438,709839.7036742936,0.225,0.0,2.0218778959997508,1.8295951728608588,1.9497605546535122,1.9383922488159482,24.51987753811971,23.593785493308403,2.2673800187582596
35,0.0002139416699389153,36691.36014541005,799.4226067039991,71783.87502554643,84.03329467773438,709839.7036742936,0.225,0.0,2.2175202610005726,1.6240148337520688,1.6974939060473453,1.7111079138597247,21.797820966964878,21.0351724700633,1.9935472574110393
36,0.00018825509907063325,37924.79178866726,798.4034033861049,74252.77678475215,84.03329467773438,709839.7036742936,0.225,0.0,2.07561165900006,1.412860469021225,1.498954512545667,1.498231479526239,19.006271555947936,18.091789484711956,1.7502357956708199
