round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_nasa_score,global_test_auprc,global_test_f1,round_seconds,delta_norm_client_1,delta_norm_client_2,delta_norm_client_3,delta_norm_client_4
1,0.001,667.1782835924637,666.3994760841083,1.557614317710323,84.03327941894531,709838.6017678897,0.2508154475565741,0.0,6.857829699998547,5.053337894846655,5.057322592979155,59.616792065085384,52.391560067882466
2,0.0009989726963751681,797.5108417005868,796.9928587115478,1.0359642458637006,84.03329467773438,709839.7036742936,0.17326069711141692,0.0,7.142896599998494,8.243527565144898,8.305090619693415,107.52603774525512,90.81076890216406
3,0.000995895006911623,799.5637420301101,797.2399733003418,4.647533972595852,84.03329467773438,709839.7036742936,0.225,0.0,6.636264400000073,8.956790302628795,8.90200019436236,116.80322179500706,99.1220737640636
4,0.0009907795784955327,828.8900873629714,797.2766752269057,63.226824005298056,84.03329467773438,709839.7036742936,0.225,0.0,23.897554400002264,11.134600718631518,11.048473627601094,145.326258470656,122.59390753176606
5,0.0009836474315195148,973.3898687498686,797.1892784667475,352.4011778789785,84.03329467773438,709839.7036742936,0.225,0.0,6.586797699997987,11.4976522938383,11.441451420100808,150.496139631161,127.03429506395564
6,0.0009745278735053344,1371.8084731117376,797.2810701637961,1149.05480364173,84.03329467773438,709839.7036742936,0.225,0.0,6.549707499998476,11.10383694683755,11.042384504500813,150.9849739704925,124.24350829544886
7,0.0009634583786730109,2182.3670823443363,797.3056129893791,2770.122925817659,84.03329467773438,709839.7036742936,0.225,0.0,6.325690700003179,11.210160311771116,11.205885127804464,152.07382193113637,127.61237168159721
8,0.0009504844339512095,3485.948229344478,797.0985083601943,5377.699445522887,84.03329467773438,709839.7036742936,0.225,0.0,8.083267300000443,11.424298464995127,11.403136368001602,149.78611195295798,125.66169422941603
9,0.0009356593520616947,5493.276339025991,797.2971003785341,9391.95847516075,84.03329467773438,709839.7036742936,0.225,0.0,7.0528400000002875,11.13653776998348,11.151839539337729,148.66461328582275,124.67146834309303
10,0.0009190440524459203,8066.332044494976,797.2083215054231,14538.2474729495,84.03329467773438,709839.7036742936,0.225,0.0,6.768896599998698,10.8390724277951,10.877048588281228,145.39481184288906,119.13769182242002
11,0.0009007068109339783,11643.681749013656,797.0854479628224,21693.19259178287,84.03329467773438,709839.7036742936,0.225,0.0,6.517717400001857,10.606174216447576,10.593611265396726,142.79516682532383,118.90097458945263
12,0.0008807229791845672,15985.519098821793,796.8704715243858,30377.297270435127,84.03329467773438,709839.7036742936,0.225,0.0,6.383102600000711,10.543643093966981,10.51604314574906,141.4686781124397,117.12021349843221
13,0.0008591746750488638,21402.73725966105,797.0425040228927,41211.38950438483,84.03329467773438,709839.7036742936,0.225,0.0,6.7266262999983155,10.251317646105429,10.160694979316268,138.61013529431645,114.75993813402522
14,0.0008361504451306584,27644.580533720975,797.2249516397112,53694.711193574614,84.03329467773438,709839.7036742936,0.225,0.0,6.748463900003117,9.95285256353976,9.95383253380236,133.84582740739506,110.54497098923821
15,0.0008117449009293668,35062.88652196097,797.2023334616447,68531.36842670919,84.03329467773438,709839.7036742936,0.225,0.0,7.686475900001824,9.681520280076427,9.66447923105312,129.77820355000992,107.78070693041985
16,0.0007860583300610849,43239.373885960704,797.161247614463,84884.4252355897,84.03329467773438,709839.7036742936,0.225,0.0,6.892157499998575,9.398692178667963,9.365131657913974,127.92976903738551,105.86066709694956
17,0.0007591962841552626,52812.94690853389,796.9737830995018,104031.94617868072,84.03329467773438,709839.7036742936,0.225,0.0,7.590543700000126,9.175152989049865,9.139747862076153,123.36691938394122,101.92755902082233
18,0.0007312691451204176,62941.69059298829,797.1738185403019,124289.03377893992,84.03329467773438,709839.7036742936,0.225,0.0,6.754947800000082,8.741807042064234,8.765049186110879,119.08583795689185,98.10628588616898
19,0.0007023916715611969,74289.43767687114,796.9275413824163,146985.0196050611,84.03329467773438,709839.7036742936,0.225,0.0,6.589422600001853,8.602432991392817,8.559014803860073,115.78611426055457,96.07943658658158
20,0.0006726825272106538,85698.3541888374,797.235635353976,169802.2366313153,84.03329467773438,709839.7036742936,0.225,0.0,6.434837400000106,7.951647734029023,7.962868761511804,108.1814855621214,88.5802559370376
21,0.0006422637933155162,98293.86289776409,797.2403346723727,194993.24459264,84.03329467773438,709839.7036742936,0.225,0.0,6.297824600002059,7.683002177462643,7.650842146594696,104.28907256426751,85.32697477621005
22,0.0006112604669781572,110823.87775589881,797.2028573271139,220053.35024172414,84.03329467773438,709839.7036742936,0.225,0.0,5.542726699997729,7.234931080192464,7.252164697029607,98.35575323876054,80.93100920920664
23,0.0005797999475166897,124628.48469350353,797.2716335260658,247662.42627958534,84.03329467773438,709839.7036742936,0.225,0.0,6.969897999999375,6.98442982554854,6.939354918022987,92.96503737914637,77.82090346584523
24,0.0005480115129538409,138128.24257856645,797.1530760166827,274662.17904285155,84.03329467773438,709839.7036742936,0.225,0.0,6.459104800000205,6.490212311715675,6.4898716064173385,87.26008029171453,72.4373403865654
25,0.0005160257887858277,152194.19470130932,797.1877063208049,302794.0138457094,84.03329467773438,709839.7036742936,0.225,0.0,6.712590600000112,6.1636434866501,6.142573886521387,82.72177230742957,68.39746653821953
26,0.0004839742112141724,166144.97451576017,797.0409423034921,330695.86674916954,84.03329467773438,709839.7036742936,0.225,0.0,6.677872899999784,5.736012100210145,5.738302776803609,77.86915292387312,64.42234980553862
27,0.0004519884870461591,179869.87863814627,797.0770393021359,358145.602402324,84.03329467773438,709839.7036742936,0.225,0.0,7.028928499999893,5.297316904957757,5.306613100521281,72.8047798040353,59.51630716685984
28,0.0004202000524833105,193000.79485051462,797.3747567676958,384406.8395181835,84.03329467773438,709839.7036742936,0.225,0.0,6.1285769999994955,5.019811090097118,5.049479237690259,67.53509344589057,55.945446472463836
29,0.00038873953302184284,206622.72725238802,797.026362244894,411651.40117820725,84.03329467773438,709839.7036742936,0.225,0.0,5.517402999998012,4.583173712075591,4.632407097084515,62.23479576811413,51.63126680736803
30,0.0003577362066844838,219647.0265170473,797.1079185940714,437699.8381319534,84.03329467773438,709839.7036742936,0.225,0.0,5.426614500000142,4.31257103573867,4.293133507688376,59.06655194422486,48.18938809786618
31,0.0003273174727893463,231903.8278602603,797.2917042770665,462213.07172765175,84.03329467773438,709839.7036742936,0.225,0.0,5.3485827000004065,3.8638534180045006,3.857709998347896,53.071748431713566,43.53774074125304
32,0.0002976083284388031,243390.62257131166,797.147111301929,485186.9518311365,84.03329467773438,709839.7036742936,0.225,0.0,5.418242499999906,3.579362245497163,3.5320390809361126,48.35003791053686,40.00445546560834
33,0.0002687308548795825,254797.3952218078,797.1594510301779,508000.4711850207,84.03329467773438,709839.7036742936,0.225,0.0,5.428493700001127,3.167442094879536,3.1798812102613887,43.38339366797122,35.95203247703714
34,0.00024080371584473748,264458.8017399572,797.213434107723,527323.1764831634,84.03329467773438,709839.7036742936,0.225,0.0,5.2375343999992765,2.8816255870812615,2.8841273974045625,39.05200490104763,31.813040829375943
35,0.0002139416699389153,274376.9860509642,797.1105780709049,547159.7514112549,84.03329467773438,709839.7036742936,0.225,0.0,5.380095900000015,2.512914774951283,2.51836179551646,34.651367386001894,28.460915565186344
36,0.00018825509907063325,282790.26838348655,797.4583322442523,563985.6201257575,84.03329467773438,709839.7036742936,0.225,0.0,5.681933500000014,2.271218037705052,2.258830400660249,30.48413630101497,25.142051477279622
37,0.00016384955486934162,289830.14005250344,797.1916399240065,578065.8978859793,84.03329467773438,709839.7036742936,0.225,0.0,6.106943899998441,1.90638643836701,1.9076078396748068,26.41031445826101,21.641160097256115
38,0.00014082532495113625,296519.51502370357,797.0316148923384,591444.9663421353,84.03329467773438,709839.7036742936,0.225,0.0,6.494607299999188,1.6741102428595658,1.6640343695884054,22.48480759878753,18.635799983602283
39,0.0001192770208154328,303055.8157258909,797.1104029058099,604517.4099037487,84.03329467773438,709839.7036742936,0.225,0.0,5.701625699999568,1.3787880061640476,1.3775200887574237,18.98341470283175,15.625538317369676
40,9.929318906602175e-05,308592.3725635485,797.0967552031055,615590.5515375969,84.03329467773438,709839.7036742936,0.225,0.0,5.521383999999671,1.161910142458627,1.1621764434743702,15.641438999114085,12.939305347400248
41,8.09559475540797e-05,312038.5370975019,796.949848050122,622483.1742695303,84.03329467773438,709839.7036742936,0.225,0.0,5.39970650000032,0.9368242742163281,0.9378040633813985,12.72494185514116,10.508909416050177
42,6.43406479383053e-05,315225.905920628,797.0854249872316,628857.6397279416,84.03329467773438,709839.7036742936,0.225,0.0,5.633068200000707,0.7343393674381503,0.7370097977482623,9.92666597809468,8.248394228124575
43,4.9515566048790485e-05,318284.8125138824,797.2826351838569,634975.0603179068,84.03329467773438,709839.7036742936,0.225,0.0,6.094489600000088,0.5637385871612532,0.5628963964003263,7.674011871463536,6.347567973397199
