round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_nasa_score,global_test_auprc,global_test_f1,round_seconds,delta_norm_client_1,delta_norm_client_2,delta_norm_client_3,delta_norm_client_4
1,0.001,674.3565076546781,673.6231185086422,1.4667755402393774,84.02661895751953,709438.7117615186,0.14115890844709644,0.0,5.464834400001564,4.974125981741607,5.138612947864291,57.007035608644095,5.529430274590195
2,0.0009989726963751681,768.9208621886476,768.2365138313987,1.368696088237422,84.03329467773438,709839.7036646967,0.13953330555881963,0.0,5.336368700001913,7.4888373684959015,7.785731593489815,87.39619866848595,8.49359763132303
3,0.000995895006911623,799.2100943664209,798.5711177584374,1.2779536077412148,84.03329467773438,709839.7036742936,0.1547711503090418,0.0,5.834271400002763,8.384682597329753,8.779797329132247,102.94032533395401,9.909305820831475
4,0.0009907795784955327,800.0383509056403,798.4409880326059,3.19472760096045,84.03329467773438,709839.7036742936,0.13420540591324018,0.0,5.802452899995842,8.664163597781931,9.268567720997714,111.58817070867708,10.672503827978465
5,0.0009836474315195148,807.5464160623883,798.3747645022661,18.343303626798004,84.03329467773438,709839.7036742936,0.225,0.0,5.018838299998606,10.302967489264319,10.881738478052204,127.41300827348559,12.199524987987399
6,0.0009745278735053344,834.105155202349,798.6144353681849,70.9814443543633,84.03329467773438,709839.7036742936,0.225,0.0,24.70658530000219,10.750706735151532,11.258616688832937,138.522432956618,13.314259651477725
7,0.0009634583786730109,898.5748868221319,798.2332212213203,200.6833314913439,84.03329467773438,709839.7036742936,0.225,0.0,6.433937400004652,10.565751735708888,11.485081894658935,141.04819402291216,13.462532257414782
8,0.0009504844339512095,1005.8104416497767,798.8194915995555,413.98190282405244,84.03329467773438,709839.7036742936,0.225,0.0,6.7433784999957425,11.146094706714432,11.7271793859594,141.98715547674738,13.47961141646807
9,0.0009356593520616947,1174.317664600473,798.8383287232778,750.9586653031454,84.03329467773438,709839.7036742936,0.225,0.0,6.621197299995401,10.737598641365153,11.470560099108525,137.05972053217545,13.197506719885325
10,0.0009190440524459203,1399.459143938855,798.6533421115796,1201.611603391139,84.03329467773438,709839.7036742936,0.225,0.0,6.67841220000264,10.533934615313393,11.302194945101226,138.19889394385186,13.240477106236765
11,0.0009007068109339783,1711.436301498601,798.4847430804016,1825.90311032606,84.03329467773438,709839.7036742936,0.225,0.0,6.5304040999981225,10.496124635181763,11.126422644850193,136.75170373220703,13.129005091718271
12,0.0008807229791845672,2083.96559445723,798.4113971981226,2571.1083954404,84.03329467773438,709839.7036742936,0.225,0.0,6.415539299996453,10.167367610722678,10.822947437926775,133.6949797447534,12.63813864823181
13,0.0008591746750488638,2574.2674012808675,798.6294274130597,3551.2759320018104,84.03329467773438,709839.7036742936,0.225,0.0,6.722002199996496,10.004356366642432,10.768586094402501,130.90019025036977,12.45774619731095
14,0.0008361504451306584,3134.984304222973,798.3807015269654,4673.207202754981,84.03329467773438,709839.7036742936,0.225,0.0,6.818601999999373,9.43382554699514,10.090198498290428,124.47799460550947,11.816122007202576
15,0.0008117449009293668,3815.3765189728824,798.6374650381587,6033.478103401968,84.03329467773438,709839.7036742936,0.225,0.0,6.7686610000018845,9.346643152108841,9.965506846370198,121.88992187005535,11.677976563945728
16,0.0007860583300610849,4537.861025002116,798.6754741294711,7478.371101968065,84.03329467773438,709839.7036742936,0.225,0.0,6.518216900003608,9.045014211399897,9.680858982023329,119.16602770264983,11.32204342007473
17,0.0007591962841552626,5369.385659940153,798.7587314963837,9141.253848713188,84.03329467773438,709839.7036742936,0.225,0.0,6.522526699998707,8.720061148298388,9.344580297743994,113.03065567584473,10.733415175486398
18,0.0007312691451204176,6309.965874353558,798.696402559053,11022.538944747896,84.03329467773438,709839.7036742936,0.225,0.0,6.551895300006436,8.486360534121676,9.108290537088104,111.69866028696495,10.641319157662439
19,0.0007023916715611969,7318.886399543282,798.4611046160231,13040.850588180792,84.03329467773438,709839.7036742936,0.225,0.0,6.547329499997431,8.383148583634346,8.849556898413843,108.20557969746754,10.313274747529565
20,0.0006726825272106538,8337.907618638646,798.9530672831544,15077.909132738976,84.03329467773438,709839.7036742936,0.225,0.0,6.532325400003174,7.756150828604736,8.224358673999083,101.5083773977535,9.674077951394294
21,0.0006422637933155162,9510.748131467313,798.5789249833983,17424.33842117132,84.03329467773438,709839.7036742936,0.225,0.0,6.403890900000988,7.482201671931109,7.998970084849389,97.26617441288775,9.123520229176046
22,0.0006112604669781572,10596.518319390523,798.4524569358011,19596.131720161877,84.03329467773438,709839.7036742936,0.225,0.0,7.1310713999992,7.083342347924844,7.578738538303032,92.00842997829395,8.78855488134147
23,0.0005797999475166897,11821.978060314443,798.3468257891749,22047.262478783017,84.03329467773438,709839.7036742936,0.225,0.0,7.4306046000056085,6.62281970304814,7.062852158015669,87.67352193266622,8.434349596596226
24,0.0005480115129538409,13137.874277387993,798.1213855566937,24679.505803157997,84.03329467773438,709839.7036742936,0.225,0.0,6.805346000001009,6.438854761020851,6.9090395447597235,84.92026298986573,8.109857381044115
25,0.0005160257887858277,14295.65605783329,798.956696962098,26993.39870936056,84.03329467773438,709839.7036742936,0.225,0.0,6.5101216999973985,5.9388998878635055,6.323653033206273,78.80848011039505,7.5520378983471
