round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_nasa_score,global_test_auprc,global_test_f1,round_seconds,delta_norm_client_1,delta_norm_client_2,delta_norm_client_3,delta_norm_client_4
1,0.001,674.3565076546781,673.6231185086422,1.4667755402393774,84.03326416015625,709838.1261125987,0.19696764051440974,0.0,7.197777699999278,4.974125981741607,5.138612947864291,57.007035608644095,55.29430275990635
2,0.0009989726963751681,793.452033404998,792.9050850932581,1.0938985667108994,84.03329467773438,709839.7036742936,0.18131963142406687,0.0,7.333313199997065,7.853134805223283,8.205864940430406,100.37170954120936,94.0965873809362
3,0.000995895006911623,800.8174850527656,798.5711298094938,4.492709773552571,84.03329467773438,709839.7036742936,0.225,0.0,7.144938600002206,9.427718653379525,9.975618326719657,120.47318112910924,114.95915934350484
4,0.0009907795784955327,827.0819927269328,798.4409880326059,57.2820108531843,84.03329467773438,709839.7036742936,0.225,0.0,22.14388009999675,10.56472732275474,11.138936308009159,137.9663980361912,130.62224379360381
5,0.0009836474315195148,994.3872099567902,798.3747645022661,392.02489205437234,84.03329467773438,709839.7036742936,0.225,0.0,7.13627510000515,11.136265660647696,11.737161193165376,142.1691750585347,136.69931621699146
6,0.0009745278735053344,1427.6113653960915,798.6144353681849,1257.9938508545279,84.03329467773438,709839.7036742936,0.225,0.0,7.089452000000165,11.258901787929961,11.890635520935877,144.97901899178405,137.80495527850948
7,0.0009634583786730109,2221.883005468765,798.2332212213203,2847.2995633959986,84.03329467773438,709839.7036742936,0.225,0.0,7.125271500000963,11.100599454778363,11.740195930998423,142.60756647607803,135.788933222565
8,0.0009504844339512095,3524.378655809507,798.8194915995555,5451.118333544374,84.03329467773438,709839.7036742936,0.225,0.0,7.169898100000864,11.011501005697923,11.547743228808054,141.33107216890755,134.93538148611367
9,0.0009356593520616947,5351.892399056032,798.8383287232778,9106.108133981612,84.03329467773438,709839.7036742936,0.225,0.0,7.249388700001873,10.770040460758608,11.46722773689868,138.49000140546357,133.25665644646324
10,0.0009190440524459203,7984.276781679728,798.6533421115796,14371.246874327531,84.03329467773438,709839.7036742936,0.225,0.0,7.016130399999383,10.612659075381258,11.325518959589948,138.6836998762708,132.5627441086054
