round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_nasa_score,global_test_auprc,global_test_f1,round_seconds,delta_norm_client_1,delta_norm_client_2,delta_norm_client_3,delta_norm_client_4
1,0.001,597.8806369464736,597.2251202464558,1.3110299015239195,68.1575927734375,168940.16521106288,0.7578460016619423,0.3829787234042553,7.798468300003151,4.9354126743300535,5.104624265167781,5.218464688220707,5.523877035365376
2,0.0009989726963751681,454.8035221944974,453.9349595356773,1.7371259515861732,48.39805221557617,22152.638811101897,0.738528004185867,0.6172839506172839,7.59700100000191,6.5423652568316655,6.801682680937824,6.822340052175756,7.796761490849361
3,0.000995895006911623,280.2499124040709,279.52776334710927,1.4442976730619619,27.196197509765625,3547.8960077595093,0.8082347505025405,0.6419753086419753,7.677996800004621,4.544413634791843,4.6058012034742335,6.261775042648521,5.00897825257884
4,0.0009907795784955327,165.933431955299,165.26079721562513,1.3452700926703205,22.4632568359375,3958.245268011088,0.8688916214211158,0.72,7.592666600001394,4.541686290571702,4.3272423971420455,5.374099632469536,4.201848728869235
5,0.0009836474315195148,112.26303459804478,111.82982037150589,0.8664285674600763,27.845584869384766,3853.715704691955,0.8545783020961113,0.684931506849315,7.6224691000024904,2.866629048402332,3.002033397247424,3.4672806954205195,3.098702876790124
6,0.0009745278735053344,97.42857638163089,97.17749594175879,0.5021611205093874,24.117509841918945,7867.665843599602,0.8510892946565057,0.6944444444444444,7.358709500003897,1.5554480664464658,1.487057324794563,3.0669963702542544,2.0614540197475457
7,0.0009634583786730109,92.48145589924822,92.19755547201072,0.5678006886841079,26.19582176208496,9902.248385904955,0.8270077403021304,0.7105263157894737,7.534417900002154,1.3711714550896659,1.3360750098179313,3.0344464411070957,1.7056409480934327
8,0.0009504844339512095,90.49867418188563,90.23442185893447,0.5285048642757512,25.854158401489258,10058.294944423104,0.8297520702788086,0.6933333333333334,7.626327300000412,1.0362578993159515,1.1145254983513548,2.9676187223588193,1.6089236076834181
9,0.0009356593520616947,88.44352551949933,88.17003557358439,0.5469796697180422,26.713768005371094,19846.87668873001,0.811518039687878,0.7105263157894737,7.33293290000438,0.9744462712318055,1.017674189646209,2.8972417010686504,1.41441132874869
10,0.0009190440524459203,85.90610249485107,85.63080683443403,0.5505909084927569,27.187599182128906,13966.149581548645,0.811782557951353,0.7105263157894737,7.55955250000261,1.2580452165898421,0.9596149960409517,2.57254843175315,1.5400374843144462
